question,title,answer,passage,context,input_text,model_answer,uncertainty_score,ground_truth,match
is systemic functional grammar a contemporary language theory,Systemic functional grammar,True,"Systemic functional grammar (SFG) is a form of grammatical description originated by Michael Halliday. It is part of a social semiotic approach to language called systemic functional linguistics. In these two terms, systemic refers to the view of language as ``a network of systems, or interrelated sets of options for making meaning''; functional refers to Halliday's view that language is as it is because of what it has evolved to do (see Metafunction). Thus, what he refers to as the multidimensional architecture of language ``reflects the multidimensional nature of human experience and interpersonal relations.''","Systemic functional grammar (SFG) is a form of grammatical description originated by Michael Halliday. It is part of a social semiotic approach to language called systemic functional linguistics. In these two terms, systemic refers to the view of language as ``a network of systems, or interrelated sets of options for making meaning''; functional refers to Halliday's view that language is as it is because of what it has evolved to do (see Metafunction). Thus, what he refers to as the multidimensional architecture of language ``reflects the multidimensional nature of human experience and interpersonal relations.''","Passage: Systemic functional grammar (SFG) is a form of grammatical description originated by Michael Halliday. It is part of a social semiotic approach to language called systemic functional linguistics. In these two terms, systemic refers to the view of language as ``a network of systems, or interrelated sets of options for making meaning''; functional refers to Halliday's view that language is as it is because of what it has evolved to do (see Metafunction). Thus, what he refers to as the multidimensional architecture of language ``reflects the multidimensional nature of human experience and interpersonal relations.''
Question: is systemic functional grammar a contemporary language theory","?
Answer: No, it is not. It is an older theory that was developed in the 1970s and 1980s.","UncertaintyOutput(uncertainty=8.987269401550293, input_text=""Passage: Systemic functional grammar (SFG) is a form of grammatical description originated by Michael Halliday. It is part of a social semiotic approach to language called systemic functional linguistics. In these two terms, systemic refers to the view of language as ``a network of systems, or interrelated sets of options for making meaning''; functional refers to Halliday's view that language is as it is because of what it has evolved to do (see Metafunction). Thus, what he refers to as the multidimensional architecture of language ``reflects the multidimensional nature of human experience and interpersonal relations.''\nQuestion: is systemic functional grammar a contemporary language theory"", generation_text='?\nAnswer: No, it is not. It is an older theory that was developed in the 1970s and 1980s.', generation_tokens=[5380, 16533, 25, 2360, 11, 433, 374, 539, 13, 1102, 374, 459, 9191, 10334, 430, 574, 8040, 304, 279, 220, 4468, 15, 82, 323, 220, 3753, 15, 82, 13], model_path=None, estimator='CocoaMSP')",true,False
is season 7 the final season of true blood,True Blood (season 7),True,"The seventh and final season of the HBO supernatural drama series True Blood premiered on June 22, 2014 and contained ten episodes. The season was ordered on July 15, 2013. At the beginning of September it was announced that it would be the final season. The season was preceded by a farewell special entitled ``Farewell to Bon Temps'', in which executive producers Alan Ball and Brian Buckner united with various cast members to reminisce about the series and gave a special preview of the final season.","The seventh and final season of the HBO supernatural drama series True Blood premiered on June 22, 2014 and contained ten episodes. The season was ordered on July 15, 2013. At the beginning of September it was announced that it would be the final season. The season was preceded by a farewell special entitled ``Farewell to Bon Temps'', in which executive producers Alan Ball and Brian Buckner united with various cast members to reminisce about the series and gave a special preview of the final season.","Passage: The seventh and final season of the HBO supernatural drama series True Blood premiered on June 22, 2014 and contained ten episodes. The season was ordered on July 15, 2013. At the beginning of September it was announced that it would be the final season. The season was preceded by a farewell special entitled ``Farewell to Bon Temps'', in which executive producers Alan Ball and Brian Buckner united with various cast members to reminisce about the series and gave a special preview of the final season.
Question: is season 7 the final season of true blood","?
Answer: yes, season 7 is the final season of True Blood.","UncertaintyOutput(uncertainty=1.3993943929672241, input_text=""Passage: The seventh and final season of the HBO supernatural drama series True Blood premiered on June 22, 2014 and contained ten episodes. The season was ordered on July 15, 2013. At the beginning of September it was announced that it would be the final season. The season was preceded by a farewell special entitled ``Farewell to Bon Temps'', in which executive producers Alan Ball and Brian Buckner united with various cast members to reminisce about the series and gave a special preview of the final season.\nQuestion: is season 7 the final season of true blood"", generation_text='?\nAnswer: yes, season 7 is the final season of True Blood.', generation_tokens=[5380, 16533, 25, 10035, 11, 3280, 220, 22, 374, 279, 1620, 3280, 315, 3082, 20671, 13], model_path=None, estimator='CocoaMSP')",true,False
are there any of the temptations still living,Otis Williams,True,"Williams is best known as the founder and last original surviving member of the Motown vocal group The Temptations, a group in which he continues to perform; he also owns the rights to the Temptations name.","Williams is best known as the founder and last original surviving member of the Motown vocal group The Temptations, a group in which he continues to perform; he also owns the rights to the Temptations name.","Passage: Williams is best known as the founder and last original surviving member of the Motown vocal group The Temptations, a group in which he continues to perform; he also owns the rights to the Temptations name.
Question: are there any of the temptations still living","today?
Answer: yes, there are still some members of the Temptations alive today. Williams is the only surviving original member of the group, and he continues to perform with the group.","UncertaintyOutput(uncertainty=13.765697479248047, input_text='Passage: Williams is best known as the founder and last original surviving member of the Motown vocal group The Temptations, a group in which he continues to perform; he also owns the rights to the Temptations name.\nQuestion: are there any of the temptations still living', generation_text=' today?\nAnswer: yes, there are still some members of the Temptations alive today. Williams is the only surviving original member of the group, and he continues to perform with the group.', generation_tokens=[3432, 5380, 16533, 25, 10035, 11, 1070, 527, 2103, 1063, 3697, 315, 279, 8817, 418, 811, 13989, 3432, 13, 13926, 374, 279, 1193, 40746, 4113, 4562, 315, 279, 1912, 11, 323, 568, 9731, 311, 2804, 449, 279, 1912, 13], model_path=None, estimator='CocoaMSP')",true,False
does shaving your head make lice go away,Treatment of human head lice,True,"Shaving the head or cutting the hair extremely short can be used to control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate -- particularly if maintained for the length of the parasites' reproductive cycle -- louse infestation.","Shaving the head or cutting the hair extremely short can be used to control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate -- particularly if maintained for the length of the parasites' reproductive cycle -- louse infestation.","Passage: Shaving the head or cutting the hair extremely short can be used to control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate -- particularly if maintained for the length of the parasites' reproductive cycle -- louse infestation.
Question: does shaving your head make lice go away","?
Answer: Yes, shaving your head can help control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate lice infestation, particularly","UncertaintyOutput(uncertainty=6.3675761222839355, input_text=""Passage: Shaving the head or cutting the hair extremely short can be used to control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate -- particularly if maintained for the length of the parasites' reproductive cycle -- louse infestation.\nQuestion: does shaving your head make lice go away"", generation_text=""?\nAnswer: Yes, shaving your head can help control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate lice infestation, particularly if maintained for the length of the parasites' reproductive cycle."", generation_tokens=[5380, 16533, 25, 7566, 11, 81109, 701, 2010, 649, 1520, 2585, 326, 560, 4225, 65078, 13, 10928, 7013, 11, 48653, 2136, 11, 477, 264, 559, 5389, 65426, 527, 8965, 3970, 439, 264, 71123, 6767, 2403, 326, 1559, 4225, 65078, 13, 1115, 690, 1101, 22472, 326, 560, 4225, 65078, 11, 8104, 422, 18908, 369, 279, 3160, 315, 279, 79383, 6, 42889, 11008, 13], model_path=None, estimator='CocoaMSP')",true,False
does a turtle's shell grow with them,Turtle shell,True,"The carapacial ridge has been found to play an essential role in the development of the turtle shell. Embryological analyses show that the carapacial ridge initiates the formation of the turtle shell. It causes axial arrest which causes the ribs to be dorsalized, the shoulder girdle to be rearranged and encapsulated in the rib cage, and the carapace to develop. O. semitestacea presents evidence of axial arrest that is observed in embryos but lacks fan-shaped ribs and a carapace. This suggests that the primitive carapacial ridge functioned differently and must have gained the function of mediating the ribs and carapace development later.","The carapacial ridge has been found to play an essential role in the development of the turtle shell. Embryological analyses show that the carapacial ridge initiates the formation of the turtle shell. It causes axial arrest which causes the ribs to be dorsalized, the shoulder girdle to be rearranged and encapsulated in the rib cage, and the carapace to develop. O. semitestacea presents evidence of axial arrest that is observed in embryos but lacks fan-shaped ribs and a carapace. This suggests that the primitive carapacial ridge functioned differently and must have gained the function of mediating the ribs and carapace development later.","Passage: The carapacial ridge has been found to play an essential role in the development of the turtle shell. Embryological analyses show that the carapacial ridge initiates the formation of the turtle shell. It causes axial arrest which causes the ribs to be dorsalized, the shoulder girdle to be rearranged and encapsulated in the rib cage, and the carapace to develop. O. semitestacea presents evidence of axial arrest that is observed in embryos but lacks fan-shaped ribs and a carapace. This suggests that the primitive carapacial ridge functioned differently and must have gained the function of mediating the ribs and carapace development later.
Question: does a turtle's shell grow with them","?
Answer: Yes, a turtle's shell grows with them. The carapacial ridge plays a crucial role in the development of the turtle shell, and it is essential for the growth and development of the shell. The carapacial ridge initiates","UncertaintyOutput(uncertainty=11.045858383178711, input_text=""Passage: The carapacial ridge has been found to play an essential role in the development of the turtle shell. Embryological analyses show that the carapacial ridge initiates the formation of the turtle shell. It causes axial arrest which causes the ribs to be dorsalized, the shoulder girdle to be rearranged and encapsulated in the rib cage, and the carapace to develop. O. semitestacea presents evidence of axial arrest that is observed in embryos but lacks fan-shaped ribs and a carapace. This suggests that the primitive carapacial ridge functioned differently and must have gained the function of mediating the ribs and carapace development later.\nQuestion: does a turtle's shell grow with them"", generation_text=""?\nAnswer: Yes, a turtle's shell grows with them. The carapacial ridge plays a crucial role in the development of the turtle shell, and it is essential for the growth and development of the shell. The carapacial ridge initiates the formation of the turtle shell, causing axial arrest, which leads to the development of the ribs, shoulder girdle, and carapace. As the turtle grows, the carapacial ridge continues to grow and develop, allowing the shell to"", generation_tokens=[5380, 16533, 25, 7566, 11, 264, 37189, 596, 12811, 28815, 449, 1124, 13, 578, 1841, 391, 33211, 58933, 11335, 264, 16996, 3560, 304, 279, 4500, 315, 279, 37189, 12811, 11, 323, 433, 374, 7718, 369, 279, 6650, 323, 4500, 315, 279, 12811, 13, 578, 1841, 391, 33211, 58933, 12961, 988, 279, 18488, 315, 279, 37189, 12811, 11, 14718, 98280, 8163, 11, 902, 11767, 311, 279, 4500, 315, 279, 56249, 11, 17308, 342, 2668, 273, 11, 323, 1841, 391, 580, 13, 1666, 279, 37189, 28815, 11, 279, 1841, 391, 33211, 58933, 9731, 311, 3139, 323, 2274, 11, 10923, 279, 12811], model_path=None, estimator='CocoaMSP')",true,False
does dr house die in the last episode,Everybody Dies (House),False,"A funeral is held for House. While most of his colleagues call House a positive force in their lives, Wilson uses his eulogy to call House arrogant and that he never cared for his friends. Suddenly, a phone in Wilson's pocket rings, with a text message stating ``Shut up, you idiot''. Wilson finds House alive waiting at his home. House admits he switched his dental records with his patient to allow him to fake his death; an astonished Wilson states that he just destroyed his life, he will go to jail and will never be able to practice medicine again, House then just says, ``I'm dead, Wilson''. House then asks Wilson how he would like to spend his last months before he dies from his terminal cancer.","A funeral is held for House. While most of his colleagues call House a positive force in their lives, Wilson uses his eulogy to call House arrogant and that he never cared for his friends. Suddenly, a phone in Wilson's pocket rings, with a text message stating ``Shut up, you idiot''. Wilson finds House alive waiting at his home. House admits he switched his dental records with his patient to allow him to fake his death; an astonished Wilson states that he just destroyed his life, he will go to jail and will never be able to practice medicine again, House then just says, ``I'm dead, Wilson''. House then asks Wilson how he would like to spend his last months before he dies from his terminal cancer.","Passage: A funeral is held for House. While most of his colleagues call House a positive force in their lives, Wilson uses his eulogy to call House arrogant and that he never cared for his friends. Suddenly, a phone in Wilson's pocket rings, with a text message stating ``Shut up, you idiot''. Wilson finds House alive waiting at his home. House admits he switched his dental records with his patient to allow him to fake his death; an astonished Wilson states that he just destroyed his life, he will go to jail and will never be able to practice medicine again, House then just says, ``I'm dead, Wilson''. House then asks Wilson how he would like to spend his last months before he dies from his terminal cancer.
Question: does dr house die in the last episode","of house M.D.?
The answer is: yes, House dies in the last episode of House M.D.","UncertaintyOutput(uncertainty=6.993254661560059, input_text=""Passage: A funeral is held for House. While most of his colleagues call House a positive force in their lives, Wilson uses his eulogy to call House arrogant and that he never cared for his friends. Suddenly, a phone in Wilson's pocket rings, with a text message stating ``Shut up, you idiot''. Wilson finds House alive waiting at his home. House admits he switched his dental records with his patient to allow him to fake his death; an astonished Wilson states that he just destroyed his life, he will go to jail and will never be able to practice medicine again, House then just says, ``I'm dead, Wilson''. House then asks Wilson how he would like to spend his last months before he dies from his terminal cancer.\nQuestion: does dr house die in the last episode"", generation_text=' of house M.D.?\nThe answer is: yes, House dies in the last episode of House M.D.', generation_tokens=[315, 3838, 386, 920, 13, 5380, 791, 4320, 374, 25, 10035, 11, 4783, 8898, 304, 279, 1566, 9417, 315, 4783, 386, 920, 13], model_path=None, estimator='CocoaMSP')",false,False
is hair bleach the same as regular bleach,Bleach,True,"Bleach is the generic name for any chemical product which is used industrially and domestically to whiten clothes, lighten hair color and remove stains. It often refers, specifically, to a dilute solution of sodium hypochlorite, also called ``liquid bleach''.","Bleach is the generic name for any chemical product which is used industrially and domestically to whiten clothes, lighten hair color and remove stains. It often refers, specifically, to a dilute solution of sodium hypochlorite, also called ``liquid bleach''.","Passage: Bleach is the generic name for any chemical product which is used industrially and domestically to whiten clothes, lighten hair color and remove stains. It often refers, specifically, to a dilute solution of sodium hypochlorite, also called ``liquid bleach''.
Question: is hair bleach the same as regular bleach","?
No, hair bleach is not the same as regular bleach. While both are used to whiten clothes and lighten hair color, they are different in terms of their composition and usage.
Answer: Hair bleach is a diluted solution of sodium hypochlor","UncertaintyOutput(uncertainty=10.776071548461914, input_text=""Passage: Bleach is the generic name for any chemical product which is used industrially and domestically to whiten clothes, lighten hair color and remove stains. It often refers, specifically, to a dilute solution of sodium hypochlorite, also called ``liquid bleach''.\nQuestion: is hair bleach the same as regular bleach"", generation_text='?\nNo, hair bleach is not the same as regular bleach. While both are used to whiten clothes and lighten hair color, they are different in terms of their composition and usage.\nAnswer: Hair bleach is a diluted solution of sodium hypochlorite, while regular bleach is a strong solution of sodium hypochlorite.\nExplanation: Hair bleach is a diluted solution of sodium hypochlorite, which is a strong oxidizing agent. Regular bleach, on the other hand, is a strong', generation_tokens=[5380, 2822, 11, 7013, 83451, 374, 539, 279, 1890, 439, 5912, 83451, 13, 6104, 2225, 527, 1511, 311, 421, 15010, 15447, 323, 83608, 7013, 1933, 11, 814, 527, 2204, 304, 3878, 315, 872, 18528, 323, 10648, 627, 16533, 25, 26781, 83451, 374, 264, 80703, 6425, 315, 39695, 9950, 5059, 9761, 635, 11, 1418, 5912, 83451, 374, 264, 3831, 6425, 315, 39695, 9950, 5059, 9761, 635, 627, 70869, 25, 26781, 83451, 374, 264, 80703, 6425, 315, 39695, 9950, 5059, 9761, 635, 11, 902, 374, 264, 3831, 36172, 4954, 8479, 13, 29900, 83451, 11, 389, 279, 1023, 1450, 11, 374, 264], model_path=None, estimator='CocoaMSP')",true,False
did zidane won la liga as a coach,Zinedine Zidane,True,"After retiring as a player, Zidane transitioned into coaching, becoming assistant coach at Real Madrid under Carlo Ancelotti for the 2013--14 season. After a successful year in which the club won the UEFA Champions League and Copa del Rey, Zidane became the coach of Real Madrid's B team, Real Madrid Castilla. He remained in the position for two years before taking the helm of the first team in January 2016. In his first two seasons as manager, Zidane won the UEFA Champions League twice, a La Liga title, a Supercopa de España, and both the UEFA Super Cup and FIFA Club World Cup twice. His success saw him named Best FIFA Men's Coach in 2017. In 2018, Zidane led Real Madrid to another UEFA Champions League, his third in a row, becoming the only coach in the history of football to win three consecutive UEFA Champions League titles. A few days after the victory, he resigned as Real Madrid coach.","After retiring as a player, Zidane transitioned into coaching, becoming assistant coach at Real Madrid under Carlo Ancelotti for the 2013--14 season. After a successful year in which the club won the UEFA Champions League and Copa del Rey, Zidane became the coach of Real Madrid's B team, Real Madrid Castilla. He remained in the position for two years before taking the helm of the first team in January 2016. In his first two seasons as manager, Zidane won the UEFA Champions League twice, a La Liga title, a Supercopa de España, and both the UEFA Super Cup and FIFA Club World Cup twice. His success saw him named Best FIFA Men's Coach in 2017. In 2018, Zidane led Real Madrid to another UEFA Champions League, his third in a row, becoming the only coach in the history of football to win three consecutive UEFA Champions League titles. A few days after the victory, he resigned as Real Madrid coach.","Passage: After retiring as a player, Zidane transitioned into coaching, becoming assistant coach at Real Madrid under Carlo Ancelotti for the 2013--14 season. After a successful year in which the club won the UEFA Champions League and Copa del Rey, Zidane became the coach of Real Madrid's B team, Real Madrid Castilla. He remained in the position for two years before taking the helm of the first team in January 2016. In his first two seasons as manager, Zidane won the UEFA Champions League twice, a La Liga title, a Supercopa de España, and both the UEFA Super Cup and FIFA Club World Cup twice. His success saw him named Best FIFA Men's Coach in 2017. In 2018, Zidane led Real Madrid to another UEFA Champions League, his third in a row, becoming the only coach in the history of football to win three consecutive UEFA Champions League titles. A few days after the victory, he resigned as Real Madrid coach.
Question: did zidane won la liga as a coach","?
Answer: yes, he won the la liga title as a coach of real madrid castilla in 2018.","UncertaintyOutput(uncertainty=7.403785705566406, input_text=""Passage: After retiring as a player, Zidane transitioned into coaching, becoming assistant coach at Real Madrid under Carlo Ancelotti for the 2013--14 season. After a successful year in which the club won the UEFA Champions League and Copa del Rey, Zidane became the coach of Real Madrid's B team, Real Madrid Castilla. He remained in the position for two years before taking the helm of the first team in January 2016. In his first two seasons as manager, Zidane won the UEFA Champions League twice, a La Liga title, a Supercopa de España, and both the UEFA Super Cup and FIFA Club World Cup twice. His success saw him named Best FIFA Men's Coach in 2017. In 2018, Zidane led Real Madrid to another UEFA Champions League, his third in a row, becoming the only coach in the history of football to win three consecutive UEFA Champions League titles. A few days after the victory, he resigned as Real Madrid coach.\nQuestion: did zidane won la liga as a coach"", generation_text='?\nAnswer: yes, he won the la liga title as a coach of real madrid castilla in 2018.', generation_tokens=[5380, 16533, 25, 10035, 11, 568, 2834, 279, 1208, 326, 16960, 2316, 439, 264, 7395, 315, 1972, 65887, 6445, 6374, 304, 220, 679, 23, 13], model_path=None, estimator='CocoaMSP')",true,False
has anyone won all 4 majors in the same year,Grand Slam (golf),True,"The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:","The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:","Passage: The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:
Question: has anyone won all 4 majors in the same year","?
Answer: No, Bobby Jones won all 4 majors in 1930, but no one has won all 4 majors in the same year since then.","UncertaintyOutput(uncertainty=7.440273284912109, input_text=""Passage: The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:\nQuestion: has anyone won all 4 majors in the same year"", generation_text='?\nAnswer: No, Bobby Jones won all 4 majors in 1930, but no one has won all 4 majors in the same year since then.', generation_tokens=[5380, 16533, 25, 2360, 11, 38481, 12201, 2834, 682, 220, 19, 56333, 304, 220, 7285, 15, 11, 719, 912, 832, 706, 2834, 682, 220, 19, 56333, 304, 279, 1890, 1060, 2533, 1243, 13], model_path=None, estimator='CocoaMSP')",true,False
the kingdom of vijayanagar was found by two brothers,Vijayanagara Empire,True,"The Vijayanagara Empire (also called Karnata, and the Kingdom of Bisnegar by the Portuguese) was based in the Deccan Plateau region in South India. It was established in 1336 by Harihara I and his brother Bukka Raya I of Sangama Dynasty. The empire rose to prominence as a culmination of attempts by the southern powers to ward off Islamic invasions by the end of the 13th century. It lasted until 1646, although its power declined after a major military defeat in 1565 by the combined armies of the Deccan sultanates. The empire is named after its capital city of Vijayanagara, whose ruins surround present day Hampi, now a World Heritage Site in Karnataka, India. The writings of medieval European travelers such as Domingo Paes, Fernão Nunes, and Niccolò Da Conti, and the literature in local languages provide crucial information about its history. Archaeological excavations at Vijayanagara have revealed the empire's power and wealth.","The Vijayanagara Empire (also called Karnata, and the Kingdom of Bisnegar by the Portuguese) was based in the Deccan Plateau region in South India. It was established in 1336 by Harihara I and his brother Bukka Raya I of Sangama Dynasty. The empire rose to prominence as a culmination of attempts by the southern powers to ward off Islamic invasions by the end of the 13th century. It lasted until 1646, although its power declined after a major military defeat in 1565 by the combined armies of the Deccan sultanates. The empire is named after its capital city of Vijayanagara, whose ruins surround present day Hampi, now a World Heritage Site in Karnataka, India. The writings of medieval European travelers such as Domingo Paes, Fernão Nunes, and Niccolò Da Conti, and the literature in local languages provide crucial information about its history. Archaeological excavations at Vijayanagara have revealed the empire's power and wealth.","Passage: The Vijayanagara Empire (also called Karnata, and the Kingdom of Bisnegar by the Portuguese) was based in the Deccan Plateau region in South India. It was established in 1336 by Harihara I and his brother Bukka Raya I of Sangama Dynasty. The empire rose to prominence as a culmination of attempts by the southern powers to ward off Islamic invasions by the end of the 13th century. It lasted until 1646, although its power declined after a major military defeat in 1565 by the combined armies of the Deccan sultanates. The empire is named after its capital city of Vijayanagara, whose ruins surround present day Hampi, now a World Heritage Site in Karnataka, India. The writings of medieval European travelers such as Domingo Paes, Fernão Nunes, and Niccolò Da Conti, and the literature in local languages provide crucial information about its history. Archaeological excavations at Vijayanagara have revealed the empire's power and wealth.
Question: the kingdom of vijayanagar was found by two brothers",", harihara i and bukka raya i of the sangama dynasty in the year 1336.
Answer: Yes, that is correct. The Vijayanagara Empire was established in 1336 by Harihara I and his","UncertaintyOutput(uncertainty=6.2036261558532715, input_text=""Passage: The Vijayanagara Empire (also called Karnata, and the Kingdom of Bisnegar by the Portuguese) was based in the Deccan Plateau region in South India. It was established in 1336 by Harihara I and his brother Bukka Raya I of Sangama Dynasty. The empire rose to prominence as a culmination of attempts by the southern powers to ward off Islamic invasions by the end of the 13th century. It lasted until 1646, although its power declined after a major military defeat in 1565 by the combined armies of the Deccan sultanates. The empire is named after its capital city of Vijayanagara, whose ruins surround present day Hampi, now a World Heritage Site in Karnataka, India. The writings of medieval European travelers such as Domingo Paes, Fernão Nunes, and Niccolò Da Conti, and the literature in local languages provide crucial information about its history. Archaeological excavations at Vijayanagara have revealed the empire's power and wealth.\nQuestion: the kingdom of vijayanagar was found by two brothers"", generation_text=', harihara i and bukka raya i of the sangama dynasty in the year 1336.\nAnswer: Yes, that is correct. The Vijayanagara Empire was established in 1336 by Harihara I and his brother Bukka Raya I of the Sangama Dynasty.', generation_tokens=[11, 305, 94883, 5169, 602, 323, 1048, 74, 4657, 436, 12874, 602, 315, 279, 29340, 3105, 67946, 304, 279, 1060, 220, 9423, 21, 627, 16533, 25, 7566, 11, 430, 374, 4495, 13, 578, 79127, 44957, 60822, 21080, 574, 9749, 304, 220, 9423, 21, 555, 473, 94883, 5169, 358, 323, 813, 10868, 70950, 4657, 432, 12874, 358, 315, 279, 52022, 3105, 74495, 13], model_path=None, estimator='CocoaMSP')",true,False
