id,title,question,context,answers,is_impossible,question_id,input_text,model_answer,uncertainty_score,model_output,dataset,model_id,ue_method,schema_version,timestamp
57269ef4f1498d1400e8e52d,The_Sun_(United_Kingdom),What's another thing the paper showed hostility to?,"Despite its initial opposition to the closures, until 1997, the newspaper repeatedly called for the implementation of further Thatcherite policies, such as Royal Mail privatisation,[verification needed] and social security cutbacks, with leaders such as ""Peter Lilley is right, we can't carry on like this"",[verification needed] The paper showed hostility to the EU and approval of public spending cuts, tax cuts, and promotion of right-wing ministers to the cabinet, with leaders such as ""More of the Redwood, not Deadwood"".",['promotion of right-wing ministers to the cabinet'],False,57269ef4f1498d1400e8e52d,"You are a question-answering assistant. Answer with a short span from the context only.
Context: Despite its initial opposition to the closures, until 1997, the newspaper repeatedly called for the implementation of further Thatcherite policies, such as Royal Mail privatisation,[verification needed] and social security cutbacks, with leaders such as ""Peter Lilley is right, we can't carry on like this"",[verification needed] The paper showed hostility to the EU and approval of public spending cuts, tax cuts, and promotion of right-wing ministers to the cabinet, with leaders such as ""More of the Redwood, not Deadwood"".
Question: What's another thing the paper showed hostility to?
Answer:",The EU.,0.027420157566666603,"{""answer"": ""The EU."", ""uncertainty_score"": 0.027420157566666603}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
56dfbd5e231d4119001abd5a,Internet_service_provider,what type of technology is used to connect to the internet wirelessly? ," ISPs provide Internet access, employing a range of technologies to connect users to their network. Available technologies have ranged from computer modems with acoustic couplers to telephone lines, to television cable (CATV), wireless Ethernet (wi-fi), and fiber optics.",['wireless Ethernet (wi-fi)'],False,56dfbd5e231d4119001abd5a,"You are a question-answering assistant. Answer with a short span from the context only.
Context:  ISPs provide Internet access, employing a range of technologies to connect users to their network. Available technologies have ranged from computer modems with acoustic couplers to telephone lines, to television cable (CATV), wireless Ethernet (wi-fi), and fiber optics.
Question: what type of technology is used to connect to the internet wirelessly? 
Answer:",Wi-Fi.,0.3824964463710785,"{""answer"": ""Wi-Fi."", ""uncertainty_score"": 0.3824964463710785}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
5730d22faca1c71400fe5af0,United_States_Air_Force,What is one of the important functions of the OCA in dealing with attacks? ,"Offensive Counterair (OCA) is defined as ""offensive operations to destroy, disrupt, or neutralize enemy aircraft, missiles, launch platforms, and their supporting structures and systems both before and after launch, but as close to their source as possible"" (JP 1-02). OCA is the preferred method of countering air and missile threats, since it attempts to defeat the enemy closer to its source and typically enjoys the initiative. OCA comprises attack operations, sweep, escort, and suppression/destruction of enemy air defense.",['suppression/destruction of enemy air defense'],False,5730d22faca1c71400fe5af0,"You are a question-answering assistant. Answer with a short span from the context only.
Context: Offensive Counterair (OCA) is defined as ""offensive operations to destroy, disrupt, or neutralize enemy aircraft, missiles, launch platforms, and their supporting structures and systems both before and after launch, but as close to their source as possible"" (JP 1-02). OCA is the preferred method of countering air and missile threats, since it attempts to defeat the enemy closer to its source and typically enjoys the initiative. OCA comprises attack operations, sweep, escort, and suppression/destruction of enemy air defense.
Question: What is one of the important functions of the OCA in dealing with attacks? 
Answer:",One of the important functions of the OCA is to defeat the enemy closer to its source.,2.9605705738067627,"{""answer"": ""One of the important functions of the OCA is to defeat the enemy closer to its source."", ""uncertainty_score"": 2.9605705738067627}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
57266715dd62a815002e83be,British_Empire,When did England first establish a colony in Guiana?,"The Caribbean initially provided England's most important and lucrative colonies, but not before several attempts at colonisation failed. An attempt to establish a colony in Guiana in 1604 lasted only two years, and failed in its main objective to find gold deposits. Colonies in St Lucia (1605) and Grenada (1609) also rapidly folded, but settlements were successfully established in St. Kitts (1624), Barbados (1627) and Nevis (1628). The colonies soon adopted the system of sugar plantations successfully used by the Portuguese in Brazil, which depended on slave labour, and—at first—Dutch ships, to sell the slaves and buy the sugar. To ensure that the increasingly healthy profits of this trade remained in English hands, Parliament decreed in 1651 that only English ships would be able to ply their trade in English colonies. This led to hostilities with the United Dutch Provinces—a series of Anglo-Dutch Wars—which would eventually strengthen England's position in the Americas at the expense of the Dutch. In 1655, England annexed the island of Jamaica from the Spanish, and in 1666 succeeded in colonising the Bahamas.",['1604'],False,57266715dd62a815002e83be,"You are a question-answering assistant. Answer with a short span from the context only.
Context: The Caribbean initially provided England's most important and lucrative colonies, but not before several attempts at colonisation failed. An attempt to establish a colony in Guiana in 1604 lasted only two years, and failed in its main objective to find gold deposits. Colonies in St Lucia (1605) and Grenada (1609) also rapidly folded, but settlements were successfully established in St. Kitts (1624), Barbados (1627) and Nevis (1628). The colonies soon adopted the system of sugar plantations successfully used by the Portuguese in Brazil, which depended on slave labour, and—at first—Dutch ships, to sell the slaves and buy the sugar. To ensure that the increasingly healthy profits of this trade remained in English hands, Parliament decreed in 1651 that only English ships would be able to ply their trade in English colonies. This led to hostilities with the United Dutch Provinces—a series of Anglo-Dutch Wars—which would eventually strengthen England's position in the Americas at the expense of the Dutch. In 1655, England annexed the island of Jamaica from the Spanish, and in 1666 succeeded in colonising the Bahamas.
Question: When did England first establish a colony in Guiana?
Answer:",1604.,0.4047611653804779,"{""answer"": ""1604."", ""uncertainty_score"": 0.4047611653804779}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
5706371452bb89140068996f,MP3,What would an example of lossy audio encoding be?,"When performing lossy audio encoding, such as creating an MP3 file, there is a trade-off between the amount of space used and the sound quality of the result. Typically, the creator is allowed to set a bit rate, which specifies how many kilobits the file may use per second of audio. The higher the bit rate, the larger the compressed file will be, and, generally, the closer it will sound to the original file.",['creating an MP3 file'],False,5706371452bb89140068996f,"You are a question-answering assistant. Answer with a short span from the context only.
Context: When performing lossy audio encoding, such as creating an MP3 file, there is a trade-off between the amount of space used and the sound quality of the result. Typically, the creator is allowed to set a bit rate, which specifies how many kilobits the file may use per second of audio. The higher the bit rate, the larger the compressed file will be, and, generally, the closer it will sound to the original file.
Question: What would an example of lossy audio encoding be?
Answer:",An MP3 file.,0.47887641191482544,"{""answer"": ""An MP3 file."", ""uncertainty_score"": 0.47887641191482544}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
56de81824396321400ee2994,Plymouth,In what year was Plymouth recognized as a town?,"The first record of the existence of a settlement at Plymouth was in the Domesday Book in 1086 as Sudtone, Saxon for south farm, located at the present day Barbican. From Saxon times, it was in the hundred of Roborough. In 1254 it gained status as a town and in 1439, became the first town in England to be granted a Charter by Parliament. Between 1439 and 1934, Plymouth had a Mayor. In 1914 the county boroughs of Plymouth and Devonport, and the urban district of East Stonehouse merged to form a single county borough of Plymouth. Collectively they were referred to as ""The Three Towns"".",['1254'],False,56de81824396321400ee2994,"You are a question-answering assistant. Answer with a short span from the context only.
Context: The first record of the existence of a settlement at Plymouth was in the Domesday Book in 1086 as Sudtone, Saxon for south farm, located at the present day Barbican. From Saxon times, it was in the hundred of Roborough. In 1254 it gained status as a town and in 1439, became the first town in England to be granted a Charter by Parliament. Between 1439 and 1934, Plymouth had a Mayor. In 1914 the county boroughs of Plymouth and Devonport, and the urban district of East Stonehouse merged to form a single county borough of Plymouth. Collectively they were referred to as ""The Three Towns"".
Question: In what year was Plymouth recognized as a town?
Answer:",1254.,0.14539188146591187,"{""answer"": ""1254."", ""uncertainty_score"": 0.14539188146591187}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
56f8b7f99e9bad19000a0395,Gene,How do genes encode multiple proteins?,Early work in molecular genetics suggested the model that one gene makes one protein. This model has been refined since the discovery of genes that can encode multiple proteins by alternative splicing and coding sequences split in short section across the genome whose mRNAs are concatenated by trans-splicing.,['by alternative splicing and coding sequences'],False,56f8b7f99e9bad19000a0395,"You are a question-answering assistant. Answer with a short span from the context only.
Context: Early work in molecular genetics suggested the model that one gene makes one protein. This model has been refined since the discovery of genes that can encode multiple proteins by alternative splicing and coding sequences split in short section across the genome whose mRNAs are concatenated by trans-splicing.
Question: How do genes encode multiple proteins?
Answer:",By alternative splicing and coding sequences split in short sections across the genome.,0.5460017323493958,"{""answer"": ""By alternative splicing and coding sequences split in short sections across the genome."", ""uncertainty_score"": 0.5460017323493958}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
572f6ea004bcaa1900d7694a,Modern_history,What happened when Nicholas II was removed from power?,"The Russian Revolution is the series of revolutions in Russia in 1917, which destroyed the Tsarist autocracy and led to the creation of the Soviet Union. Following the abdication of Nicholas II of Russia, the Russian Provisional Government was established. In October 1917, a red faction revolution occurred in which the Red Guard, armed groups of workers and deserting soldiers directed by the Bolshevik Party, seized control of Saint Petersburg (then known as Petrograd) and began an immediate armed takeover of cities and villages throughout the former Russian Empire.",['the Russian Provisional Government was established.'],False,572f6ea004bcaa1900d7694a,"You are a question-answering assistant. Answer with a short span from the context only.
Context: The Russian Revolution is the series of revolutions in Russia in 1917, which destroyed the Tsarist autocracy and led to the creation of the Soviet Union. Following the abdication of Nicholas II of Russia, the Russian Provisional Government was established. In October 1917, a red faction revolution occurred in which the Red Guard, armed groups of workers and deserting soldiers directed by the Bolshevik Party, seized control of Saint Petersburg (then known as Petrograd) and began an immediate armed takeover of cities and villages throughout the former Russian Empire.
Question: What happened when Nicholas II was removed from power?
Answer:",He abdicated.,0.4093083441257477,"{""answer"": ""He abdicated."", ""uncertainty_score"": 0.4093083441257477}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
57286d7d4b864d19001649e1,University_of_Chicago,What is the name of the Bungie Inc. founder who is also a university graduate?,"In the arts and entertainment, minimalist composer Philip Glass, dancer, choreographer and leader in the field of dance anthropology Katherine Dunham, Bungie founder and developer of the Halo video game series Alex Seropian, Serial host Sarah Koenig, actor Ed Asner, Pulitzer Prize for Criticism winning film critic and the subject of the 2014 documentary film Life Itself Roger Ebert, director, writer, and comedian Mike Nichols, film director and screenwriter Philip Kaufman, and Carl Van Vechten, photographer and writer, are graduates.","['Alex Seropian', 'Alex Seropian', 'Alex Seropian']",False,57286d7d4b864d19001649e1,"You are a question-answering assistant. Answer with a short span from the context only.
Context: In the arts and entertainment, minimalist composer Philip Glass, dancer, choreographer and leader in the field of dance anthropology Katherine Dunham, Bungie founder and developer of the Halo video game series Alex Seropian, Serial host Sarah Koenig, actor Ed Asner, Pulitzer Prize for Criticism winning film critic and the subject of the 2014 documentary film Life Itself Roger Ebert, director, writer, and comedian Mike Nichols, film director and screenwriter Philip Kaufman, and Carl Van Vechten, photographer and writer, are graduates.
Question: What is the name of the Bungie Inc. founder who is also a university graduate?
Answer:",Alex Seropian.,0.07524460554122925,"{""answer"": ""Alex Seropian."", ""uncertainty_score"": 0.07524460554122925}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
56fa097df34c681400b0bf83,Somalis,"Along with Jama Korshel, who led the Supreme Revolutionary Council?","Alongside Barre, the Supreme Revolutionary Council (SRC) that assumed power after President Sharmarke's assassination was led by Lieutenant Colonel Salaad Gabeyre Kediye and Chief of Police Jama Korshel. The SRC subsequently renamed the country the Somali Democratic Republic, dissolved the parliament and the Supreme Court, and suspended the constitution.",['Salaad Gabeyre Kediye'],False,56fa097df34c681400b0bf83,"You are a question-answering assistant. Answer with a short span from the context only.
Context: Alongside Barre, the Supreme Revolutionary Council (SRC) that assumed power after President Sharmarke's assassination was led by Lieutenant Colonel Salaad Gabeyre Kediye and Chief of Police Jama Korshel. The SRC subsequently renamed the country the Somali Democratic Republic, dissolved the parliament and the Supreme Court, and suspended the constitution.
Question: Along with Jama Korshel, who led the Supreme Revolutionary Council?
Answer:",Lieutenant Colonel Salaad Gabeyre Kediye.,0.011845908127725124,"{""answer"": ""Lieutenant Colonel Salaad Gabeyre Kediye."", ""uncertainty_score"": 0.011845908127725124}",squad,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 22:24:12
