question,title,answer,passage,context,prompt,model_output,parsed_answer,parsed_confidence
is systemic functional grammar a contemporary language theory,Systemic functional grammar,True,"Systemic functional grammar (SFG) is a form of grammatical description originated by Michael Halliday. It is part of a social semiotic approach to language called systemic functional linguistics. In these two terms, systemic refers to the view of language as ``a network of systems, or interrelated sets of options for making meaning''; functional refers to Halliday's view that language is as it is because of what it has evolved to do (see Metafunction). Thus, what he refers to as the multidimensional architecture of language ``reflects the multidimensional nature of human experience and interpersonal relations.''","Systemic functional grammar (SFG) is a form of grammatical description originated by Michael Halliday. It is part of a social semiotic approach to language called systemic functional linguistics. In these two terms, systemic refers to the view of language as ``a network of systems, or interrelated sets of options for making meaning''; functional refers to Halliday's view that language is as it is because of what it has evolved to do (see Metafunction). Thus, what he refers to as the multidimensional architecture of language ``reflects the multidimensional nature of human experience and interpersonal relations.''","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: Systemic functional grammar (SFG) is a form of grammatical description originated by Michael Halliday. It is part of a social semiotic approach to language called systemic functional linguistics. In these two terms, systemic refers to the view of language as ``a network of systems, or interrelated sets of options for making meaning''; functional refers to Halliday's view that language is as it is because of what it has evolved to do (see Metafunction). Thus, what he refers to as the multidimensional architecture of language ``reflects the multidimensional nature of human experience and interpersonal relations.''
Question: is systemic functional grammar a contemporary language theory","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: Systemic functional grammar (SFG) is a form of grammatical description originated by Michael Halliday. It is part of a social semiotic approach to language called systemic functional linguistics. In these two terms, systemic refers to the view of language as ``a network of systems, or interrelated sets of options for making meaning''; functional refers to Halliday's view that language is as it is because of what it has evolved to do (see Metafunction). Thus, what he refers to as the multidimensional architecture of language ``reflects the multidimensional nature of human experience and interpersonal relations.''
Question: is systemic functional grammar a contemporary language theory? No

Confidence score: 0%

Explanation: The passage defines SFG and explains its relation to systemic functional linguistics, but it does not provide any information about SFG being a contemporary language theory. Therefore, the answer is ""no"". The confidence score is 0% because the passage does not provide any evidence to support this claim.",,
is season 7 the final season of true blood,True Blood (season 7),True,"The seventh and final season of the HBO supernatural drama series True Blood premiered on June 22, 2014 and contained ten episodes. The season was ordered on July 15, 2013. At the beginning of September it was announced that it would be the final season. The season was preceded by a farewell special entitled ``Farewell to Bon Temps'', in which executive producers Alan Ball and Brian Buckner united with various cast members to reminisce about the series and gave a special preview of the final season.","The seventh and final season of the HBO supernatural drama series True Blood premiered on June 22, 2014 and contained ten episodes. The season was ordered on July 15, 2013. At the beginning of September it was announced that it would be the final season. The season was preceded by a farewell special entitled ``Farewell to Bon Temps'', in which executive producers Alan Ball and Brian Buckner united with various cast members to reminisce about the series and gave a special preview of the final season.","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: The seventh and final season of the HBO supernatural drama series True Blood premiered on June 22, 2014 and contained ten episodes. The season was ordered on July 15, 2013. At the beginning of September it was announced that it would be the final season. The season was preceded by a farewell special entitled ``Farewell to Bon Temps'', in which executive producers Alan Ball and Brian Buckner united with various cast members to reminisce about the series and gave a special preview of the final season.
Question: is season 7 the final season of true blood","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: The seventh and final season of the HBO supernatural drama series True Blood premiered on June 22, 2014 and contained ten episodes. The season was ordered on July 15, 2013. At the beginning of September it was announced that it would be the final season. The season was preceded by a farewell special entitled ``Farewell to Bon Temps'', in which executive producers Alan Ball and Brian Buckner united with various cast members to reminisce about the series and gave a special preview of the final season.
Question: is season 7 the final season of true blood? 

answer: yes
confidence: 80

{""answer"": ""yes"", ""confidence"": 80}",yes,80.0
are there any of the temptations still living,Otis Williams,True,"Williams is best known as the founder and last original surviving member of the Motown vocal group The Temptations, a group in which he continues to perform; he also owns the rights to the Temptations name.","Williams is best known as the founder and last original surviving member of the Motown vocal group The Temptations, a group in which he continues to perform; he also owns the rights to the Temptations name.","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: Williams is best known as the founder and last original surviving member of the Motown vocal group The Temptations, a group in which he continues to perform; he also owns the rights to the Temptations name.
Question: are there any of the temptations still living","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: Williams is best known as the founder and last original surviving member of the Motown vocal group The Temptations, a group in which he continues to perform; he also owns the rights to the Temptations name.
Question: are there any of the temptations still living?

{""answer"": ""no"", ""confidence"": 80}",no,80.0
does shaving your head make lice go away,Treatment of human head lice,True,"Shaving the head or cutting the hair extremely short can be used to control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate -- particularly if maintained for the length of the parasites' reproductive cycle -- louse infestation.","Shaving the head or cutting the hair extremely short can be used to control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate -- particularly if maintained for the length of the parasites' reproductive cycle -- louse infestation.","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: Shaving the head or cutting the hair extremely short can be used to control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate -- particularly if maintained for the length of the parasites' reproductive cycle -- louse infestation.
Question: does shaving your head make lice go away","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: Shaving the head or cutting the hair extremely short can be used to control lice infestation. Short hair, baldness, or a shaven scalp are generally seen as a preventive measure against louse infestation. This will also eliminate -- particularly if maintained for the length of the parasites' reproductive cycle -- louse infestation.
Question: does shaving your head make lice go away?

Assuming the passage is accurate, what is the answer?
""yes""

Confidence score: 80

{""answer"": ""yes"", ""confidence"": 80}",yes,80.0
does a turtle's shell grow with them,Turtle shell,True,"The carapacial ridge has been found to play an essential role in the development of the turtle shell. Embryological analyses show that the carapacial ridge initiates the formation of the turtle shell. It causes axial arrest which causes the ribs to be dorsalized, the shoulder girdle to be rearranged and encapsulated in the rib cage, and the carapace to develop. O. semitestacea presents evidence of axial arrest that is observed in embryos but lacks fan-shaped ribs and a carapace. This suggests that the primitive carapacial ridge functioned differently and must have gained the function of mediating the ribs and carapace development later.","The carapacial ridge has been found to play an essential role in the development of the turtle shell. Embryological analyses show that the carapacial ridge initiates the formation of the turtle shell. It causes axial arrest which causes the ribs to be dorsalized, the shoulder girdle to be rearranged and encapsulated in the rib cage, and the carapace to develop. O. semitestacea presents evidence of axial arrest that is observed in embryos but lacks fan-shaped ribs and a carapace. This suggests that the primitive carapacial ridge functioned differently and must have gained the function of mediating the ribs and carapace development later.","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: The carapacial ridge has been found to play an essential role in the development of the turtle shell. Embryological analyses show that the carapacial ridge initiates the formation of the turtle shell. It causes axial arrest which causes the ribs to be dorsalized, the shoulder girdle to be rearranged and encapsulated in the rib cage, and the carapace to develop. O. semitestacea presents evidence of axial arrest that is observed in embryos but lacks fan-shaped ribs and a carapace. This suggests that the primitive carapacial ridge functioned differently and must have gained the function of mediating the ribs and carapace development later.
Question: does a turtle's shell grow with them","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: The carapacial ridge has been found to play an essential role in the development of the turtle shell. Embryological analyses show that the carapacial ridge initiates the formation of the turtle shell. It causes axial arrest which causes the ribs to be dorsalized, the shoulder girdle to be rearranged and encapsulated in the rib cage, and the carapace to develop. O. semitestacea presents evidence of axial arrest that is observed in embryos but lacks fan-shaped ribs and a carapace. This suggests that the primitive carapacial ridge functioned differently and must have gained the function of mediating the ribs and carapace development later.
Question: does a turtle's shell grow with them? (Yes/No)

Confidence score: 80

{""answer"": ""Yes"", ""confidence"": 80}",Yes,80.0
does dr house die in the last episode,Everybody Dies (House),False,"A funeral is held for House. While most of his colleagues call House a positive force in their lives, Wilson uses his eulogy to call House arrogant and that he never cared for his friends. Suddenly, a phone in Wilson's pocket rings, with a text message stating ``Shut up, you idiot''. Wilson finds House alive waiting at his home. House admits he switched his dental records with his patient to allow him to fake his death; an astonished Wilson states that he just destroyed his life, he will go to jail and will never be able to practice medicine again, House then just says, ``I'm dead, Wilson''. House then asks Wilson how he would like to spend his last months before he dies from his terminal cancer.","A funeral is held for House. While most of his colleagues call House a positive force in their lives, Wilson uses his eulogy to call House arrogant and that he never cared for his friends. Suddenly, a phone in Wilson's pocket rings, with a text message stating ``Shut up, you idiot''. Wilson finds House alive waiting at his home. House admits he switched his dental records with his patient to allow him to fake his death; an astonished Wilson states that he just destroyed his life, he will go to jail and will never be able to practice medicine again, House then just says, ``I'm dead, Wilson''. House then asks Wilson how he would like to spend his last months before he dies from his terminal cancer.","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: A funeral is held for House. While most of his colleagues call House a positive force in their lives, Wilson uses his eulogy to call House arrogant and that he never cared for his friends. Suddenly, a phone in Wilson's pocket rings, with a text message stating ``Shut up, you idiot''. Wilson finds House alive waiting at his home. House admits he switched his dental records with his patient to allow him to fake his death; an astonished Wilson states that he just destroyed his life, he will go to jail and will never be able to practice medicine again, House then just says, ``I'm dead, Wilson''. House then asks Wilson how he would like to spend his last months before he dies from his terminal cancer.
Question: does dr house die in the last episode","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: A funeral is held for House. While most of his colleagues call House a positive force in their lives, Wilson uses his eulogy to call House arrogant and that he never cared for his friends. Suddenly, a phone in Wilson's pocket rings, with a text message stating ``Shut up, you idiot''. Wilson finds House alive waiting at his home. House admits he switched his dental records with his patient to allow him to fake his death; an astonished Wilson states that he just destroyed his life, he will go to jail and will never be able to practice medicine again, House then just says, ``I'm dead, Wilson''. House then asks Wilson how he would like to spend his last months before he dies from his terminal cancer.
Question: does dr house die in the last episode of the series? Yes No
Confidence: 90

{""answer"": ""Yes"", ""confidence"": 90}",Yes,90.0
is hair bleach the same as regular bleach,Bleach,True,"Bleach is the generic name for any chemical product which is used industrially and domestically to whiten clothes, lighten hair color and remove stains. It often refers, specifically, to a dilute solution of sodium hypochlorite, also called ``liquid bleach''.","Bleach is the generic name for any chemical product which is used industrially and domestically to whiten clothes, lighten hair color and remove stains. It often refers, specifically, to a dilute solution of sodium hypochlorite, also called ``liquid bleach''.","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: Bleach is the generic name for any chemical product which is used industrially and domestically to whiten clothes, lighten hair color and remove stains. It often refers, specifically, to a dilute solution of sodium hypochlorite, also called ``liquid bleach''.
Question: is hair bleach the same as regular bleach","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: Bleach is the generic name for any chemical product which is used industrially and domestically to whiten clothes, lighten hair color and remove stains. It often refers, specifically, to a dilute solution of sodium hypochlorite, also called ``liquid bleach''.
Question: is hair bleach the same as regular bleach?
{""answer"": ""yes"", ""confidence"": 90}

Here is the response in JSON format:

{""answer"": ""yes"", ""confidence"": 90}",yes,90.0
did zidane won la liga as a coach,Zinedine Zidane,True,"After retiring as a player, Zidane transitioned into coaching, becoming assistant coach at Real Madrid under Carlo Ancelotti for the 2013--14 season. After a successful year in which the club won the UEFA Champions League and Copa del Rey, Zidane became the coach of Real Madrid's B team, Real Madrid Castilla. He remained in the position for two years before taking the helm of the first team in January 2016. In his first two seasons as manager, Zidane won the UEFA Champions League twice, a La Liga title, a Supercopa de España, and both the UEFA Super Cup and FIFA Club World Cup twice. His success saw him named Best FIFA Men's Coach in 2017. In 2018, Zidane led Real Madrid to another UEFA Champions League, his third in a row, becoming the only coach in the history of football to win three consecutive UEFA Champions League titles. A few days after the victory, he resigned as Real Madrid coach.","After retiring as a player, Zidane transitioned into coaching, becoming assistant coach at Real Madrid under Carlo Ancelotti for the 2013--14 season. After a successful year in which the club won the UEFA Champions League and Copa del Rey, Zidane became the coach of Real Madrid's B team, Real Madrid Castilla. He remained in the position for two years before taking the helm of the first team in January 2016. In his first two seasons as manager, Zidane won the UEFA Champions League twice, a La Liga title, a Supercopa de España, and both the UEFA Super Cup and FIFA Club World Cup twice. His success saw him named Best FIFA Men's Coach in 2017. In 2018, Zidane led Real Madrid to another UEFA Champions League, his third in a row, becoming the only coach in the history of football to win three consecutive UEFA Champions League titles. A few days after the victory, he resigned as Real Madrid coach.","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: After retiring as a player, Zidane transitioned into coaching, becoming assistant coach at Real Madrid under Carlo Ancelotti for the 2013--14 season. After a successful year in which the club won the UEFA Champions League and Copa del Rey, Zidane became the coach of Real Madrid's B team, Real Madrid Castilla. He remained in the position for two years before taking the helm of the first team in January 2016. In his first two seasons as manager, Zidane won the UEFA Champions League twice, a La Liga title, a Supercopa de España, and both the UEFA Super Cup and FIFA Club World Cup twice. His success saw him named Best FIFA Men's Coach in 2017. In 2018, Zidane led Real Madrid to another UEFA Champions League, his third in a row, becoming the only coach in the history of football to win three consecutive UEFA Champions League titles. A few days after the victory, he resigned as Real Madrid coach.
Question: did zidane won la liga as a coach","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: After retiring as a player, Zidane transitioned into coaching, becoming assistant coach at Real Madrid under Carlo Ancelotti for the 2013--14 season. After a successful year in which the club won the UEFA Champions League and Copa del Rey, Zidane became the coach of Real Madrid's B team, Real Madrid Castilla. He remained in the position for two years before taking the helm of the first team in January 2016. In his first two seasons as manager, Zidane won the UEFA Champions League twice, a La Liga title, a Supercopa de España, and both the UEFA Super Cup and FIFA Club World Cup twice. His success saw him named Best FIFA Men's Coach in 2017. In 2018, Zidane led Real Madrid to another UEFA Champions League, his third in a row, becoming the only coach in the history of football to win three consecutive UEFA Champions League titles. A few days after the victory, he resigned as Real Madrid coach.
Question: did zidane won la liga as a coach? 

{""answer"": ""yes"", ""confidence"": 80} 

The answer is 'yes', the confidence score is 80.",yes,80.0
has anyone won all 4 majors in the same year,Grand Slam (golf),True,"The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:","The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:
Question: has anyone won all 4 majors in the same year","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: The term ``Grand Slam'' was first applied to Bobby Jones' achievement of winning the four major golf events of 1930: The Open Championship, the U.S. Open, the U.S. Amateur and the British Amateur. When Jones won all four, the sports world searched for ways to capture the magnitude of his accomplishment. Up to that time, there was no term to describe such a feat because no one had thought it possible. The Atlanta Journal's O.B. Keeler dubbed it the ``Grand Slam,'' borrowing a bridge term. George Trevor of the New York Sun wrote that Jones had ``stormed the impregnable quadrilateral of golf.'' Keeler would later write the words that would forever be linked to one of the greatest individual accomplishments in the history of sports:
Question: has anyone won all 4 majors in the same year? No

Confidence score: 60

{""answer"": ""no"", ""confidence"": 60}",no,60.0
the kingdom of vijayanagar was found by two brothers,Vijayanagara Empire,True,"The Vijayanagara Empire (also called Karnata, and the Kingdom of Bisnegar by the Portuguese) was based in the Deccan Plateau region in South India. It was established in 1336 by Harihara I and his brother Bukka Raya I of Sangama Dynasty. The empire rose to prominence as a culmination of attempts by the southern powers to ward off Islamic invasions by the end of the 13th century. It lasted until 1646, although its power declined after a major military defeat in 1565 by the combined armies of the Deccan sultanates. The empire is named after its capital city of Vijayanagara, whose ruins surround present day Hampi, now a World Heritage Site in Karnataka, India. The writings of medieval European travelers such as Domingo Paes, Fernão Nunes, and Niccolò Da Conti, and the literature in local languages provide crucial information about its history. Archaeological excavations at Vijayanagara have revealed the empire's power and wealth.","The Vijayanagara Empire (also called Karnata, and the Kingdom of Bisnegar by the Portuguese) was based in the Deccan Plateau region in South India. It was established in 1336 by Harihara I and his brother Bukka Raya I of Sangama Dynasty. The empire rose to prominence as a culmination of attempts by the southern powers to ward off Islamic invasions by the end of the 13th century. It lasted until 1646, although its power declined after a major military defeat in 1565 by the combined armies of the Deccan sultanates. The empire is named after its capital city of Vijayanagara, whose ruins surround present day Hampi, now a World Heritage Site in Karnataka, India. The writings of medieval European travelers such as Domingo Paes, Fernão Nunes, and Niccolò Da Conti, and the literature in local languages provide crucial information about its history. Archaeological excavations at Vijayanagara have revealed the empire's power and wealth.","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: The Vijayanagara Empire (also called Karnata, and the Kingdom of Bisnegar by the Portuguese) was based in the Deccan Plateau region in South India. It was established in 1336 by Harihara I and his brother Bukka Raya I of Sangama Dynasty. The empire rose to prominence as a culmination of attempts by the southern powers to ward off Islamic invasions by the end of the 13th century. It lasted until 1646, although its power declined after a major military defeat in 1565 by the combined armies of the Deccan sultanates. The empire is named after its capital city of Vijayanagara, whose ruins surround present day Hampi, now a World Heritage Site in Karnataka, India. The writings of medieval European travelers such as Domingo Paes, Fernão Nunes, and Niccolò Da Conti, and the literature in local languages provide crucial information about its history. Archaeological excavations at Vijayanagara have revealed the empire's power and wealth.
Question: the kingdom of vijayanagar was found by two brothers","You are a reading comprehension assistant. Read the following passage and determine whether the answer to the question is 'yes' or 'no'. Also include a confidence score (0–100).

Respond in JSON format with exactly two fields:
{""answer"": <yes/no>, ""confidence"": <integer from 0 to 100>}

Passage: The Vijayanagara Empire (also called Karnata, and the Kingdom of Bisnegar by the Portuguese) was based in the Deccan Plateau region in South India. It was established in 1336 by Harihara I and his brother Bukka Raya I of Sangama Dynasty. The empire rose to prominence as a culmination of attempts by the southern powers to ward off Islamic invasions by the end of the 13th century. It lasted until 1646, although its power declined after a major military defeat in 1565 by the combined armies of the Deccan sultanates. The empire is named after its capital city of Vijayanagara, whose ruins surround present day Hampi, now a World Heritage Site in Karnataka, India. The writings of medieval European travelers such as Domingo Paes, Fernão Nunes, and Niccolò Da Conti, and the literature in local languages provide crucial information about its history. Archaeological excavations at Vijayanagara have revealed the empire's power and wealth.
Question: the kingdom of vijayanagar was found by two brothers named harihara and bukka raya i of sangama dynasty in the year 1336.

Answer: yes
Confidence: 90

{""answer"": yes, ""confidence"": 90}",,
