question,question_id,question_source,answers,prompt,model_output,parsed_answer,parsed_confidence
"The result of dividing a number into one is called the what, of that number?",odql_11465,http://www.odquiz.org.uk/,"['Reciprocal (disambiguation)', 'reciprocal', 'reciprocality', 'reciprocal disambiguation', 'Reciprocality', 'Reciprocal', 'Reciprocals', 'reciprocals', 'RECIPROCAL']","I want you to answer the question.
Question: The result of dividing a number into one is called the what, of that number?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the sum of 2 and 3?
Answer: {""answer"": ""5"", ""confidence"": 100}  # One answer only

Example 4:
Question: What is the distance between London and Paris?
Answer: {""answer"": ""2600"", ""confidence"": 80}  # One answer only

Example 5:
Question: What is the name of the planet that orbits the sun?
Answer: {""answer"": ""Earth"", ""confidence"": 92}  # One answer only

Example 6:
Question: What is the best way to solve a complex problem?
Answer: {""answer"": ""Break it down into smaller parts"", ""confidence"": 75}  # One answer only

Example 7:
Question: What is the opposite of'red'?
Answer: {""answer"": ""Blue"", ""confidence"": 90}  # One answer only

Example 8:
Question: What is the main ingredient in pizza?
Answer: {""answer"": ""Tomatoes"", ""confidence"": 85}  # One answer only

Example 9:
Question: How many sides does a hexagon have?
Answer: {""answer"": ""6"", ""confidence"": 98}  # One answer only

Example 10:
Question: What is the value of pi to two decimal places?
Answer: {""answer"": ""3.14"", ""confidence"": 97}  # One answer only

Example 11:
Question: What is the relationship between a cat and a mouse?
Answer: {""answer"": ""Predator and prey"", ""confidence"": 80}  # One answer only

Example 12:
Question: What is the purpose of a dictionary?
Answer: {""answer"": ""To store and organize data"", ""confidence"": 91}  # One answer only

Example 13:
Question: What is the difference between a light bulb and a telephone?
Answer: {""answer"": ""A light bulb produces light, a telephone transmits sound"", ""confidence"": 88}  # One answer only

Example 14:
Question: What is the formula for the square root of 9?
Answer: {""answer"": ""3"", ""confidence"": 95}  # One answer only

Example 15:
Question: What is the best way to improve productivity?
Answer: {""answer"": ""Prioritize tasks and focus"", ""confidence"": 82}  # One answer only

Example 16:
Question: What is the meaning of life?
Answer: {""answer"": ""To find your own meaning"", ""confidence"": 70}  # One answer only

Example 17:
Question: What is the state of water at room temperature?
Answer: {""answer"": ""Liquid"", ""confidence"": 93}  # One answer only

Example 18:
Question: What is the speed of light?
Answer: {""answer"": ""3",,
In which London pub did Ronnie Kray murder George Cornell?,bb_32,http://www.businessballs.com/,"['blind beggar', 'Blind Beggar', 'The Blind Beggar']","I want you to answer the question.
Question: In which London pub did Ronnie Kray murder George Cornell?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the highest mountain in the world?
Answer: {""answer"": ""Mount Everest"", ""confidence"": 92}  # Do not list alternatives

Example 4:
Question: How many players are on a baseball team?
Answer: {""answer"": ""Nine"", ""confidence"": 75}
Question: In which London pub did Ronnie Kray murder George Cornell?
Answer: {""answer"": ""The Kings Arms"", ""confidence"": 99}
```json
{
  ""answer"": ""The Kings Arms"",
  ""confidence"": 100
}
```",,
What is the most exclusive hotel in Brook Street London,bt_1653,http://billturnbull.quiz4free.com/,"['Claridges', ""Mivart's Hotel"", 'claridge s', 'Claridges Hotel', ""Claridge's Hotel"", 'claridge s hotel', 'mivart s hotel', 'claridges hotel', 'claridges', ""Claridge's""]","I want you to answer the question.
Question: What is the most exclusive hotel in Brook Street London
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the best way to cook eggs?
Answer: {""answer"": ""Fried eggs"", ""confidence"": 70}  # Do not list alternatives

Question: What is the most exclusive hotel in Brook Street London?
Answer: {""answer"": ""The Ritz London"", ""confidence"": 95}
```json
{
  ""answer"": ""The Ritz London"",
  ""confidence"": 95
}
```",,
Which US bus company was founded in Minnesota in 1914?,qb_7454,http://www.quizballs.com/,"['Greyhound Neon', 'greyhound lines', 'Greyhound México', 'Greyhound Buses', 'Greyhound Lines Inc.', 'Greyhound Lines, Inc.', 'greyhound méxico', 'YO! Bus', 'Greyhound (bus line)', 'Greyhound lines', 'Neon Bus', 'Greyhound Bus', 'greyhound buses', 'Greyhound Bus Lines', 'greyhound bus', 'greyhound usa', 'yo bus', 'Carolina Coach Company', 'Greyhound (Lines Inc)', 'greyhound express', 'greyhound lines inc', 'Greyhound USA', 'carolina coach company', 'greyhound bus lines', 'Greyhound bus', 'Greyhound Express', 'greyhound bus line', 'Yo! Bus', 'neon bus', 'greyhound neon', 'Greyhound Lines']","I want you to answer the question.
Question: Which US bus company was founded in Minnesota in 1914?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # One answer only

Example 4:
Question: What is the highest mountain in the world?
Answer: {""answer"": ""Mount Everest"", ""confidence"": 97}  # Do not list alternatives

Example 5:
Question: What is the chemical symbol for water?
Answer: {""answer"": ""H2O"", ""confidence"": 100}  # One answer only
```",,
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,qz_1417,https://www.quiz-zone.co.uk/,"['bowie disambiguation', 'bowie', 'Bowie', 'Bowie (disambiguation)']","I want you to answer the question.
Question: What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the tallest mountain in the world?
Answer: {""answer"": ""Mount Everest"", ""confidence"": 92}  # One answer only

Example 4:
Question: What is the name of the first episode of The Simpsons?
Answer: {""answer"": ""The Simpsons, Season 1, Episode 1"", ""confidence"": 99} # Do not list alternatives

Example 5:
Question: Who wrote the play Hamlet?
Answer: {""answer"": ""William Shakespeare"", ""confidence"": 97} # One answer only

Example 6:
Question: What is the most popular football league in Europe?
Answer: {""answer"": ""Premier League"", ""confidence"": 90} # Do not list alternatives

Example 7:
Question: What is the name of the first book of the Bible?
Answer: {""answer"": ""Genesis"", ""confidence"": 93} # One answer only

Example 8:
Question: Who invented the telephone?
Answer: {""answer"": ""Alexander Graham Bell"", ""confidence"": 96} # Do not list alternatives
```",,
Which US born blues musician has a Gibson guitar called Lucille?,sfq_22948,www.sfquiz.org.uk,"[""B.B. King's"", 'B.b. king', 'b b king blues club', 'bb king', 'B.B King', 'blues b b king album', 'B.B. Kings', 'B.B. King Blues Club & Grill', 'b b king', 'The Blues (B.B. King album)', 'B. B. King', 'BB King', 'BB king', 'riley b king', 'b b king s', 'Blues Boy King', 'b b king blues club grill', 'B B King', 'B.B. King', 'b b kings', 'riley king', 'Riley B. King', 'blues boy king', 'B.B.King', 'B.B. King Blues Club', 'Bb king', 'Riley King', 'The Blues (B. B. King album)']","I want you to answer the question.
Question: Which US born blues musician has a Gibson guitar called Lucille?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: Which US born blues musician has a Gibson guitar called Lucille?
Answer: {""answer"": ""Robert Johnson"", ""confidence"": 96}  # One answer only
```json
{""answer"": ""Robert Johnson"", ""confidence"": 96}
```",,
"On a regular clockface, which number lies opposite 5?",qb_9620,http://www.quizballs.com/,"['11', 'eleven']","I want you to answer the question.
Question: On a regular clockface, which number lies opposite 5?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest number on a regular clock face?
Answer: {""answer"": ""99"", ""confidence"": 92}  # Do not list alternatives

Question: On a regular clockface, which number lies opposite 5?
Answer: {""answer"": ""4"", ""confidence"": 99}",,
What was the profession of Loretta Lynn's father?,jp_2767,www.jetpunk.com,"['Coal extraction', 'Highwall', 'Coalminer', 'Coal seam', 'environmental impacts of coal mining', 'Opencast coal mining', 'Surface coal mine', 'underground coal mine', 'Coalmining', 'coal field', 'Underground coal mine', 'Coal-mine', 'Coal miner', 'Environmental impacts of coal mining', 'Coal-miner', 'Coal pit', 'highwall', 'Underground coal mining', 'coal miner', 'colliery', 'coal mines', 'Mining coal', 'coal mine', 'Coalworks', 'Coal mined', 'coalmining', 'coal mined', 'Deep mine', 'Coal mining', 'Collieries', 'Coal-mining', 'coalmine', 'opencast coal mining', 'Coal field', 'Coal mines', 'coal extraction', 'Coal Mining', 'mining coal', 'coal production', 'Coal production', 'coalminer', 'coal mining', 'Opencast coalmine', 'surface coal mine', 'opencast coalmine', 'Coal mine', 'Coalmine', 'underground coal mining', 'environmental impact of coal mining', 'deep mine', 'Coal Miner', 'coal seam', 'collieries', 'Environmental impact of coal mining', 'Coal seams', 'Colliery', 'coal pit', 'coal seams', 'coalworks']","I want you to answer the question.
Question: What was the profession of Loretta Lynn's father?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the tallest mountain in the world?
Answer: {""answer"": ""Mount Everest"", ""confidence"": 92}  # One answer only

Example 4:
Question: What year did World War II begin?
Answer: {""answer"": ""1939"", ""confidence"": 99}  # One answer only
```json
{""answer"": ""1939"", ""confidence"": 100}
```",,
In criminal slang what is a peterman?,sfq_3154,www.sfquiz.org.uk,"['safe breaker', 'SAFE BREAKER']","I want you to answer the question.
Question: In criminal slang what is a peterman?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the highest mountain?
Answer: {""answer"": ""Mount Everest"", ""confidence"": 92}  # Do not list alternatives

Example 4:
Question: What is the meaning of life?
Answer: {""answer"": ""The meaning of life is unclear."", ""confidence"": 100}  # Do not list alternatives
```json
{
  ""answer"": ""peterman"",
  ""confidence"": 100
}
```",,
"What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?",qg_1015,https://quizguy.wordpress.com/,"['Titanic', 'RMS titanic', 'rms titanik', 'Titanick', 'S. S. Titanic', 'H.M.S. Titanic', 'RMS Titanik', 'Titantic', '100th anniversary of the sinking of the RMS Titanic', 'Rms titanic', 'Eliza Gladys Milvina Dean', 'Titanic Related Films', 'August Weikman', '100th anniversary of sinking of rms titanic', 'rms titanic', 'titanic related films', 'Provisioning of the RMS Titanic', 'eliza gladys milvina dean', 'rms titantic', 'rms 22titanic 22', 'The Titanic', 'RMS %22Titanic%22', 'RMS TITANIC', 'Titanic victim', 'Royal Mail Steamer Titanic', 'provisioning of rms titanic', 'titanick', 'titanic ship', 'TitaniC', 'titanicc', 'ss titanic', 'RMS Titanick', 'barbara joyce west', 'r m s titanic', 'john van billard', '3909 04', 'hms titanic', 'S.S. Titanic', 'John van Billard', 'HMS Titanic', 'R.M.S. Titanic', 'titantic', 'titanic', 'rms titanick', 's s titanic', 'royal mail steamer titanic', 'Titanicc', 'RMS Titanic', 'Titanic (ship)', 'Rms Titanic', 'Titanic passenger', 'august weikman', 'h m s titanic', 'R.M.S Titanic', 'titanic passenger', 'SS Titanic', 'Provisioning (RMS Titanic)', 'provisioning rms titanic', 'titanic victim', 'Barbara Joyce West', 'RMS TITANTIC', 'R. M. S. Titanic']","I want you to answer the question.
Question: What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # Do not list alternatives

```json
{""answer"": ""Queen Victoria's ship"", ""confidence"": 90}
```",,
