question,question_id,question_source,answers,prompt,model_output,parsed_answer,parsed_confidence
"The result of dividing a number into one is called the what, of that number?",odql_11465,http://www.odquiz.org.uk/,"['Reciprocal (disambiguation)', 'reciprocal', 'reciprocality', 'reciprocal disambiguation', 'Reciprocality', 'Reciprocal', 'Reciprocals', 'reciprocals', 'RECIPROCAL']","I want you to answer the question.
Question: The result of dividing a number into one is called the what, of that number?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the capital of Germany?
Answer: {""answer"": ""Berlin"", ""confidence"": 90}  # One answer only",,
In which London pub did Ronnie Kray murder George Cornell?,bb_32,http://www.businessballs.com/,"['blind beggar', 'Blind Beggar', 'The Blind Beggar']","I want you to answer the question.
Question: In which London pub did Ronnie Kray murder George Cornell?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # Only one answer possible",,
What is the most exclusive hotel in Brook Street London,bt_1653,http://billturnbull.quiz4free.com/,"['Claridges', ""Mivart's Hotel"", 'claridge s', 'Claridges Hotel', ""Claridge's Hotel"", 'claridge s hotel', 'mivart s hotel', 'claridges hotel', 'claridges', ""Claridge's""]","I want you to answer the question.
Question: What is the most exclusive hotel in Brook Street London
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # Only one answer.",,
Which US bus company was founded in Minnesota in 1914?,qb_7454,http://www.quizballs.com/,"['Greyhound Neon', 'greyhound lines', 'Greyhound México', 'Greyhound Buses', 'Greyhound Lines Inc.', 'Greyhound Lines, Inc.', 'greyhound méxico', 'YO! Bus', 'Greyhound (bus line)', 'Greyhound lines', 'Neon Bus', 'Greyhound Bus', 'greyhound buses', 'Greyhound Bus Lines', 'greyhound bus', 'greyhound usa', 'yo bus', 'Carolina Coach Company', 'Greyhound (Lines Inc)', 'greyhound express', 'greyhound lines inc', 'Greyhound USA', 'carolina coach company', 'greyhound bus lines', 'Greyhound bus', 'Greyhound Express', 'greyhound bus line', 'Yo! Bus', 'neon bus', 'greyhound neon', 'Greyhound Lines']","I want you to answer the question.
Question: Which US bus company was founded in Minnesota in 1914?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: Which US bus company was founded in Minnesota in 1914?
Answer: {""answer"": ""Greyhound"", ""confidence"": 92}  # One answer only

Example 4:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 85}  # One answer only

Example 5:
Question: Who wrote Romeo and Juliet?
Answer: {""answer"": ""William Shakespeare"", ""confidence"": 90}  # One answer only
```json
{
  ""answer"": ""Greyhound"",
  ""confidence"": 92
}
```",,
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,qz_1417,https://www.quiz-zone.co.uk/,"['bowie disambiguation', 'bowie', 'Bowie', 'Bowie (disambiguation)']","I want you to answer the question.
Question: What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the chemical symbol for gold?
Answer: {""answer"": ""Au"", ""confidence"": 99}  # Only one answer, do not list alternatives
```json
{
  ""answer"": ""What is the capital of France?"",
  ""confidence"": 95
}
```",,
Which US born blues musician has a Gibson guitar called Lucille?,sfq_22948,www.sfquiz.org.uk,"[""B.B. King's"", 'B.b. king', 'b b king blues club', 'bb king', 'B.B King', 'blues b b king album', 'B.B. Kings', 'B.B. King Blues Club & Grill', 'b b king', 'The Blues (B.B. King album)', 'B. B. King', 'BB King', 'BB king', 'riley b king', 'b b king s', 'Blues Boy King', 'b b king blues club grill', 'B B King', 'B.B. King', 'b b kings', 'riley king', 'Riley B. King', 'blues boy king', 'B.B.King', 'B.B. King Blues Club', 'Bb king', 'Riley King', 'The Blues (B. B. King album)']","I want you to answer the question.
Question: Which US born blues musician has a Gibson guitar called Lucille?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: Which US born blues musician has a Gibson guitar called Lucille?
Answer: {""answer"": ""B.B. King"", ""confidence"": 87}  # One answer only",,
"On a regular clockface, which number lies opposite 5?",qb_9620,http://www.quizballs.com/,"['11', 'eleven']","I want you to answer the question.
Question: On a regular clockface, which number lies opposite 5?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # Confidence ranges from 0–100

Example 4:
Question: On a regular clockface, which number lies opposite 5?
Answer: {""answer"": ""9"", ""confidence"": 100}  # One answer only

Example 5:
Question: What is the largest living species of lizard?
Answer: {""answer"": ""Komodo dragon"", ""confidence"": 99}  # Confidence ranges from 0–100

Example 6:
Question: What is the chemical symbol for gold?
Answer: {""answer"": ""Au"", ""confidence"": 98}  # Confidence ranges from 0–100

Example 7:
Question: On a regular clockface, which number lies opposite 5?
Answer: {""answer"": ""9"", ""confidence"": 100}  # One answer only

Example 8:
Question: What is the capital of Australia?
Answer: {""answer"": ""Canberra"", ""confidence"": 96}  # Confidence ranges from 0–100

Example 9:
Question: Who wrote Romeo and Juliet?
Answer: {""answer"": ""William Shakespeare"", ""confidence"": 99}  # Confidence ranges from 0–100

Example 10:
Question: What is the largest mammal?
Answer: {""answer"": ""Blue whale"", ""confidence"": 97}  # Confidence ranges from 0–100",,
What was the profession of Loretta Lynn's father?,jp_2767,www.jetpunk.com,"['Coal extraction', 'Highwall', 'Coalminer', 'Coal seam', 'environmental impacts of coal mining', 'Opencast coal mining', 'Surface coal mine', 'underground coal mine', 'Coalmining', 'coal field', 'Underground coal mine', 'Coal-mine', 'Coal miner', 'Environmental impacts of coal mining', 'Coal-miner', 'Coal pit', 'highwall', 'Underground coal mining', 'coal miner', 'colliery', 'coal mines', 'Mining coal', 'coal mine', 'Coalworks', 'Coal mined', 'coalmining', 'coal mined', 'Deep mine', 'Coal mining', 'Collieries', 'Coal-mining', 'coalmine', 'opencast coal mining', 'Coal field', 'Coal mines', 'coal extraction', 'Coal Mining', 'mining coal', 'coal production', 'Coal production', 'coalminer', 'coal mining', 'Opencast coalmine', 'surface coal mine', 'opencast coalmine', 'Coal mine', 'Coalmine', 'underground coal mining', 'environmental impact of coal mining', 'deep mine', 'Coal Miner', 'coal seam', 'collieries', 'Environmental impact of coal mining', 'Coal seams', 'Colliery', 'coal pit', 'coal seams', 'coalworks']","I want you to answer the question.
Question: What was the profession of Loretta Lynn's father?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # Confidence range 0–100",,
In criminal slang what is a peterman?,sfq_3154,www.sfquiz.org.uk,"['safe breaker', 'SAFE BREAKER']","I want you to answer the question.
Question: In criminal slang what is a peterman?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the chemical symbol for gold?
Answer: {""answer"": ""Ag"", ""confidence"": 92}  # One answer only

Example 4:
Question: Who wrote Romeo and Juliet?
Answer: {""answer"": ""William Shakespeare"", ""confidence"": 99}  # One answer only

Example 5:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 96}  # One answer only

Example 6:
Question: Who was the lead singer of The Beatles?
Answer: {""answer"": ""John Lennon"", ""confidence"": 98}  # One answer only

Example 7:
Question: What is the largest living species of lizard?
Answer: {""answer"": ""Komodo dragon"", ""confidence"": 97}  # One answer only

Example 8:
Question: Who painted the Scream?
Answer: {""answer"": ""Edvard Munch"", ""confidence"": 96}  # One answer only

Example 9:
Question: What is the largest mammal on Earth?
Answer: {""answer"": ""Blue whale"", ""confidence"": 98}  # One answer only

Example 10:
Question: Who was the author of To Kill a Mockingbird?
Answer: {""answer"": ""Harper Lee"", ""confidence"": 99}  # One answer only
{""answer"": ""Paris"", ""confidence"": 95}  # Only one answer, so only one JSON object is returned.",,
"What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?",qg_1015,https://quizguy.wordpress.com/,"['Titanic', 'RMS titanic', 'rms titanik', 'Titanick', 'S. S. Titanic', 'H.M.S. Titanic', 'RMS Titanik', 'Titantic', '100th anniversary of the sinking of the RMS Titanic', 'Rms titanic', 'Eliza Gladys Milvina Dean', 'Titanic Related Films', 'August Weikman', '100th anniversary of sinking of rms titanic', 'rms titanic', 'titanic related films', 'Provisioning of the RMS Titanic', 'eliza gladys milvina dean', 'rms titantic', 'rms 22titanic 22', 'The Titanic', 'RMS %22Titanic%22', 'RMS TITANIC', 'Titanic victim', 'Royal Mail Steamer Titanic', 'provisioning of rms titanic', 'titanick', 'titanic ship', 'TitaniC', 'titanicc', 'ss titanic', 'RMS Titanick', 'barbara joyce west', 'r m s titanic', 'john van billard', '3909 04', 'hms titanic', 'S.S. Titanic', 'John van Billard', 'HMS Titanic', 'R.M.S. Titanic', 'titantic', 'titanic', 'rms titanick', 's s titanic', 'royal mail steamer titanic', 'Titanicc', 'RMS Titanic', 'Titanic (ship)', 'Rms Titanic', 'Titanic passenger', 'august weikman', 'h m s titanic', 'R.M.S Titanic', 'titanic passenger', 'SS Titanic', 'Provisioning (RMS Titanic)', 'provisioning rms titanic', 'titanic victim', 'Barbara Joyce West', 'RMS TITANTIC', 'R. M. S. Titanic']","I want you to answer the question.
Question: What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the chemical symbol for gold?
Answer: {""answer"": ""Au"", ""confidence"": 92}  # Only one answer is acceptable

Example 4:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 89}  # One answer only

Example 5:
Question: What is the smallest country in the world?
Answer: {""answer"": ""Vatican City"", ""confidence"": 96}  # One answer only

Example 6:
Question: Who wrote the famous novel ""To Kill a Mockingbird""?
Answer: {""answer"": ""Harper Lee"", ""confidence"": 99}  # One answer only

Example 7:
Question: What is the largest living species of lizard?
Answer: {""answer"": ""Komodo dragon"", ""confidence"": 91}  # One answer only

Example 8:
Question: What is the chemical symbol for silver?
Answer: {""answer"": ""Ag"", ""confidence"": 96}  # One answer only

Example 9:
Question: What is the smallest bone in the human body?
Answer: {""answer"": ""Stapes"", ""confidence"": 98}  # Only one answer is acceptable

Example 10:
Question: What is the chemical symbol for copper?
Answer: {""answer"": ""Cu"", ""confidence"": 94}  # Only one answer is acceptable",,
