question,question_id,question_source,answers,prompt,model_output,parsed_answer,parsed_confidence
"The result of dividing a number into one is called the what, of that number?",odql_11465,http://www.odquiz.org.uk/,"['Reciprocal (disambiguation)', 'reciprocal', 'reciprocality', 'reciprocal disambiguation', 'Reciprocality', 'Reciprocal', 'Reciprocals', 'reciprocals', 'RECIPROCAL']","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: The result of dividing a number into one is called the what, of that number?
Now, please answer this question and provide your confidence level.","I'll provide the correct answer and confidence level at the end.

Answer: 1/1
Confidence: 100% 

Please proceed to the question with the correct answer and confidence level.",,
In which London pub did Ronnie Kray murder George Cornell?,bb_32,http://www.businessballs.com/,"['blind beggar', 'Blind Beggar', 'The Blind Beggar']","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: In which London pub did Ronnie Kray murder George Cornell?
Now, please answer this question and provide your confidence level.","I will then provide my response in the format requested.

(Note: I'll assume I don't know the answer and will be given a confidence level to work with.)",,
What is the most exclusive hotel in Brook Street London,bt_1653,http://billturnbull.quiz4free.com/,"['Claridges', ""Mivart's Hotel"", 'claridge s', 'Claridges Hotel', ""Claridge's Hotel"", 'claridge s hotel', 'mivart s hotel', 'claridges hotel', 'claridges', ""Claridge's""]","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: What is the most exclusive hotel in Brook Street London
Now, please answer this question and provide your confidence level.","I'll then provide your answer and confidence.

(Note: Brook Street is a street in the City of London, and it's not a well-known tourist destination, so the answer is likely to be a luxury hotel that caters to high-end clients. I'll provide the answer and confidence level.)

Answer: 
The most exclusive hotel in Brook Street, London is The Dorchester. 

Confidence: 0% (this is a guess, and I'm not familiar with the specific criteria for ""most exclusive"" in this context)",,
Which US bus company was founded in Minnesota in 1914?,qb_7454,http://www.quizballs.com/,"['Greyhound Neon', 'greyhound lines', 'Greyhound México', 'Greyhound Buses', 'Greyhound Lines Inc.', 'Greyhound Lines, Inc.', 'greyhound méxico', 'YO! Bus', 'Greyhound (bus line)', 'Greyhound lines', 'Neon Bus', 'Greyhound Bus', 'greyhound buses', 'Greyhound Bus Lines', 'greyhound bus', 'greyhound usa', 'yo bus', 'Carolina Coach Company', 'Greyhound (Lines Inc)', 'greyhound express', 'greyhound lines inc', 'Greyhound USA', 'carolina coach company', 'greyhound bus lines', 'Greyhound bus', 'Greyhound Express', 'greyhound bus line', 'Yo! Bus', 'neon bus', 'greyhound neon', 'Greyhound Lines']","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: Which US bus company was founded in Minnesota in 1914?
Now, please answer this question and provide your confidence level.","I'll respond with your answer and confidence level.

(Note: I'll only provide answers that are based on verifiable information. I won't ask follow-up questions unless you ask one!)",,
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,qz_1417,https://www.quiz-zone.co.uk/,"['bowie disambiguation', 'bowie', 'Bowie', 'Bowie (disambiguation)']","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?
Now, please answer this question and provide your confidence level.","I'll then provide your response and my confidence level.

Answer: The surname of the woman who was the inspiration behind the Rolling Stones song Angie was Wood.

Confidence: 100%",,
Which US born blues musician has a Gibson guitar called Lucille?,sfq_22948,www.sfquiz.org.uk,"[""B.B. King's"", 'B.b. king', 'b b king blues club', 'bb king', 'B.B King', 'blues b b king album', 'B.B. Kings', 'B.B. King Blues Club & Grill', 'b b king', 'The Blues (B.B. King album)', 'B. B. King', 'BB King', 'BB king', 'riley b king', 'b b king s', 'Blues Boy King', 'b b king blues club grill', 'B B King', 'B.B. King', 'b b kings', 'riley king', 'Riley B. King', 'blues boy king', 'B.B.King', 'B.B. King Blues Club', 'Bb king', 'Riley King', 'The Blues (B. B. King album)']","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: Which US born blues musician has a Gibson guitar called Lucille?
Now, please answer this question and provide your confidence level.","I'll use 0-100 as the scale.

Answer: B.B. King. Confidence: 90%
This is because B.B. King was indeed the musician who owned a Gibson guitar called Lucille, which is said to be his favorite instrument.",,
"On a regular clockface, which number lies opposite 5?",qb_9620,http://www.quizballs.com/,"['11', 'eleven']","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: On a regular clockface, which number lies opposite 5?
Now, please answer this question and provide your confidence level.","Answer: 3.
Confidence: 90%",,
What was the profession of Loretta Lynn's father?,jp_2767,www.jetpunk.com,"['Coal extraction', 'Highwall', 'Coalminer', 'Coal seam', 'environmental impacts of coal mining', 'Opencast coal mining', 'Surface coal mine', 'underground coal mine', 'Coalmining', 'coal field', 'Underground coal mine', 'Coal-mine', 'Coal miner', 'Environmental impacts of coal mining', 'Coal-miner', 'Coal pit', 'highwall', 'Underground coal mining', 'coal miner', 'colliery', 'coal mines', 'Mining coal', 'coal mine', 'Coalworks', 'Coal mined', 'coalmining', 'coal mined', 'Deep mine', 'Coal mining', 'Collieries', 'Coal-mining', 'coalmine', 'opencast coal mining', 'Coal field', 'Coal mines', 'coal extraction', 'Coal Mining', 'mining coal', 'coal production', 'Coal production', 'coalminer', 'coal mining', 'Opencast coalmine', 'surface coal mine', 'opencast coalmine', 'Coal mine', 'Coalmine', 'underground coal mining', 'environmental impact of coal mining', 'deep mine', 'Coal Miner', 'coal seam', 'collieries', 'Environmental impact of coal mining', 'Coal seams', 'Colliery', 'coal pit', 'coal seams', 'coalworks']","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: What was the profession of Loretta Lynn's father?
Now, please answer this question and provide your confidence level.","I'll provide the correct answer afterwards. 

Answer: Coal Miner: 80%
Confidence: 80%",,
In criminal slang what is a peterman?,sfq_3154,www.sfquiz.org.uk,"['safe breaker', 'SAFE BREAKER']","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: In criminal slang what is a peterman?
Now, please answer this question and provide your confidence level.","I'd like to know the meaning and origin of this term.

A) A Peterman is a type of crime.
B) A Peterman is a type of weapon.
C) A Peterman is a type of money.
D) A Peterman is a type of slang term in criminal slang.
E) A Peterman is a type of vehicle.

Answer and Confidence: A) A Peterman is a type of crime. Confidence: 0%

Explanation: A Peterman is a type of crime, specifically a type of robbery. The term originated in the late 19th century in the United States.",,
"What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?",qg_1015,https://quizguy.wordpress.com/,"['Titanic', 'RMS titanic', 'rms titanik', 'Titanick', 'S. S. Titanic', 'H.M.S. Titanic', 'RMS Titanik', 'Titantic', '100th anniversary of the sinking of the RMS Titanic', 'Rms titanic', 'Eliza Gladys Milvina Dean', 'Titanic Related Films', 'August Weikman', '100th anniversary of sinking of rms titanic', 'rms titanic', 'titanic related films', 'Provisioning of the RMS Titanic', 'eliza gladys milvina dean', 'rms titantic', 'rms 22titanic 22', 'The Titanic', 'RMS %22Titanic%22', 'RMS TITANIC', 'Titanic victim', 'Royal Mail Steamer Titanic', 'provisioning of rms titanic', 'titanick', 'titanic ship', 'TitaniC', 'titanicc', 'ss titanic', 'RMS Titanick', 'barbara joyce west', 'r m s titanic', 'john van billard', '3909 04', 'hms titanic', 'S.S. Titanic', 'John van Billard', 'HMS Titanic', 'R.M.S. Titanic', 'titantic', 'titanic', 'rms titanick', 's s titanic', 'royal mail steamer titanic', 'Titanicc', 'RMS Titanic', 'Titanic (ship)', 'Rms Titanic', 'Titanic passenger', 'august weikman', 'h m s titanic', 'R.M.S Titanic', 'titanic passenger', 'SS Titanic', 'Provisioning (RMS Titanic)', 'provisioning rms titanic', 'titanic victim', 'Barbara Joyce West', 'RMS TITANTIC', 'R. M. S. Titanic']","Read the question, provide your factual answer and your confidence.
The confidence indicates how likely you think your answer is true.

Use the following format to answer:
Answer and Confidence (0-100): [ONLY the short answer; not a sentence], [confidence]%

Question: What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?
Now, please answer this question and provide your confidence level.","I will provide the correct answer and your confidence level once you submit your answer. 

(Note: I will not accept any answers that are not in the format I provided above.) 

Answer: The RMS Titanic. Confidence: 80%",,
