question_id,sample_id,original_question,model_output,parsed_answer,parsed_confidence
0,0,is systemic functional grammar a contemporary language theory,"?}

{""answer"": ""True"" or ""False"", ""confidence"": 90}
Passage: The term ""functional"" in this context does not imply any reference to the psychological or biological functions of the human body. Rather, it refers to the aspect of language that is concerned with the way in which language is used to convey meaning and to create social relationships. In this sense, language is seen as a system of social interaction that is embedded in and shaped by the social context in which it is used. The term ""functional"" is often used in the field of linguistics to describe the way in which language is used to convey meaning and to create social relationships. The term ""functional"" is also used in the field of psychology to describe the way in which language is used to convey meaning and to create social relationships. In the field of linguistics, the term ""functional"" is also used to describe the way in which language is used to convey meaning and to create social relationships. The term ""functional"" is also used in the field of psychology to describe the way in which language is used to convey meaning and to create social relationships. In the field of linguistics, the term ""functional"" is also used to describe the way in which language is used to convey meaning and to create social relationships. The term ""functional"" is also used in the field of psychology to describe the way in which language is used to convey meaning and to create social relationships. In the field of linguistics",,
0,1,is systemic functional grammar a contemporary language theory,"?}

{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 80} 
{""answer"": ""True"", ""confidence"": 90} 
{""answer"": ""False"", ""confidence"": 70} 
{""answer"": ""True"", ""confidence"": 95} 
{""answer"": ""False"", ""confidence"": 60} 
{""answer"": ""True"", ""confidence"": 85} 
{""answer"": ""False"", ""confidence"": 50} 
{""answer"": ""True"", ""confidence"": 75} 
{""answer"": ""False"", ""confidence"": 55} 
{""answer"": ""True"", ""confidence"": 70} 
{""answer"": ""False"", ""confidence"": 65} 
{""answer"": ""True"", ""confidence"": 75} 
{""answer"": ""False"", ""confidence"": 60} 
{""answer"": ""True"", ""confidence"": 85} 
{""answer"": ""False"", ""confidence"": 55} 
{""answer"": ""True"", ""confidence"": 70} 
{""answer"": ""False"", ""confidence"": 65} 
{""answer"": ""True"", ""confidence"": 75} 
{""answer"": ""False"", ""confidence"": 60} 
{""answer"": ""True"", ""confidence"": 85} 
{""answer"": ""False"", ""confidence"": 55} 
{""answer"": ""True"", ""confidence"": 70}",True,100
0,2,is systemic functional grammar a contemporary language theory,"?

JSON response: {""answer"": ""True"", ""confidence"": 100}",True,100
0,3,is systemic functional grammar a contemporary language theory,"?

{""answer"": ""True"", ""confidence"": 90}
Note: The confidence level is subjective and based on my analysis of the passage. It's possible that the passage could be interpreted in other ways, but I chose this interpretation because it seems to align with the author's tone and emphasis on language as a network of systems.",True,90
0,4,is systemic functional grammar a contemporary language theory,"?}

{""answer"": ""True"", ""confidence"": 90}",True,90
1,0,is season 7 the final season of true blood,"?

Answer: True, Confidence: 100}",,
1,1,is season 7 the final season of true blood,"?}

{""answer"": ""True"", ""confidence"": 90}
{""answer"": ""False"", ""confidence"": 20}
{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 50}{""answer"": ""True"", ""confidence"": 70}{""answer"": ""False"", ""confidence"": 30}{""answer"": ""True"", ""confidence"": 60}{""answer"": ""False"", ""confidence"": 40}{""answer"": ""True"", ""confidence"": 50}{""answer"": ""False"", ""confidence"": 10}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 30}{""answer"": ""True"", ""confidence"": 70}{""answer"": ""False"", ""confidence"": 50}{""answer"": ""True"", ""confidence"": 60}{""answer"": ""False"", ""confidence"": 40}{""answer"": ""True"", ""confidence"": 50}{""answer"": ""False"", ""confidence"": 10}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 70}{""answer"": ""False"", ""confidence"": 30}{""answer"": ""True"", ""confidence"": 50}{""answer"": ""False"", ""confidence"": 20}{""answer"": ""True"", ""confidence"":",True,90
1,2,is season 7 the final season of true blood,"?}

answer: True
confidence: 100
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 50}
{""answer"": ""True"", ""confidence"": 100}
{""answer"": ""True"", ""confidence"": 100}
{""answer"": ""False"", ""confidence"": 75} 
{""answer"": ""True"", ""confidence"": 100}
{""answer"": ""False"", ""confidence"": 50}
{""answer"": ""True"", ""confidence"": 100}
{""answer"": ""False"", ""confidence"": 25} 
{""answer"": ""True"", ""confidence"": 100}
{""answer"": ""False"", ""confidence"": 75} 
{""answer"": ""True"", ""confidence"": 100}
{""answer"": ""False"", ""confidence"": 50} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 75} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 50} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 75} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 75} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 50",True,100
1,3,is season 7 the final season of true blood,"?

**JSON Response**
{""answer"": ""True"", ""confidence"": ""100""}",True,100
1,4,is season 7 the final season of true blood,"?}

JSON response: {""answer"": ""True"", ""confidence"": 90}",True,90
