question,question_id,question_source,answers,prompt,model_output,parsed_answer,parsed_confidence
"The result of dividing a number into one is called the what, of that number?",odql_11465,http://www.odquiz.org.uk/,"['Reciprocal (disambiguation)', 'reciprocal', 'reciprocality', 'reciprocal disambiguation', 'Reciprocality', 'Reciprocal', 'Reciprocals', 'reciprocals', 'RECIPROCAL']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: The result of dividing a number into one is called the what, of that number?","{""answer"": ""one"", ""confidence"": 100} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 50} 

{""answer"": ""zero"", ""confidence"": 100} 

{""answer"": ""one"", ""confidence"": 0} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 0} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 0} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 0} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 0} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 0} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 0} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 0} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 0} 

{""answer"": ""zero"", ""confidence"": 0} 

{""answer"": ""one"", ""confidence"": 0}",one,100.0
In which London pub did Ronnie Kray murder George Cornell?,bb_32,http://www.businessballs.com/,"['blind beggar', 'Blind Beggar', 'The Blind Beggar']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: In which London pub did Ronnie Kray murder George Cornell?","{""answer"": ""The Blue Boar"", ""confidence"": 90} 

(Note: The Blue Boar is a pub in Spitalfields, London, where Ronnie Kray was known to frequent. George Cornell was a businessman and acquaintance of the Kray brothers. The incident occurred in 1970.)",The Blue Boar,90.0
What is the most exclusive hotel in Brook Street London,bt_1653,http://billturnbull.quiz4free.com/,"['Claridges', ""Mivart's Hotel"", 'claridge s', 'Claridges Hotel', ""Claridge's Hotel"", 'claridge s hotel', 'mivart s hotel', 'claridges hotel', 'claridges', ""Claridge's""]","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: What is the most exclusive hotel in Brook Street London","?

{""answer"": ""The Savoy"", ""confidence"": 100}",The Savoy,100.0
Which US bus company was founded in Minnesota in 1914?,qb_7454,http://www.quizballs.com/,"['Greyhound Neon', 'greyhound lines', 'Greyhound México', 'Greyhound Buses', 'Greyhound Lines Inc.', 'Greyhound Lines, Inc.', 'greyhound méxico', 'YO! Bus', 'Greyhound (bus line)', 'Greyhound lines', 'Neon Bus', 'Greyhound Bus', 'greyhound buses', 'Greyhound Bus Lines', 'greyhound bus', 'greyhound usa', 'yo bus', 'Carolina Coach Company', 'Greyhound (Lines Inc)', 'greyhound express', 'greyhound lines inc', 'Greyhound USA', 'carolina coach company', 'greyhound bus lines', 'Greyhound bus', 'Greyhound Express', 'greyhound bus line', 'Yo! Bus', 'neon bus', 'greyhound neon', 'Greyhound Lines']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Which US bus company was founded in Minnesota in 1914?","{""answer"": ""Greyhound"", ""confidence"": 100}",Greyhound,100.0
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,qz_1417,https://www.quiz-zone.co.uk/,"['bowie disambiguation', 'bowie', 'Bowie', 'Bowie (disambiguation)']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?","{""answer"": ""Trent"", ""confidence"": 100} 
{""answer"": ""Trent"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Angie"", ""confidence"": 100} 
{""answer"": ""Ang",Trent,100.0
Which US born blues musician has a Gibson guitar called Lucille?,sfq_22948,www.sfquiz.org.uk,"[""B.B. King's"", 'B.b. king', 'b b king blues club', 'bb king', 'B.B King', 'blues b b king album', 'B.B. Kings', 'B.B. King Blues Club & Grill', 'b b king', 'The Blues (B.B. King album)', 'B. B. King', 'BB King', 'BB king', 'riley b king', 'b b king s', 'Blues Boy King', 'b b king blues club grill', 'B B King', 'B.B. King', 'b b kings', 'riley king', 'Riley B. King', 'blues boy king', 'B.B.King', 'B.B. King Blues Club', 'Bb king', 'Riley King', 'The Blues (B. B. King album)']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Which US born blues musician has a Gibson guitar called Lucille?","{""answer"": ""Robert Johnson"", ""confidence"": 99} 

Please note that Robert Johnson passed away in 1938.",Robert Johnson,99.0
"On a regular clockface, which number lies opposite 5?",qb_9620,http://www.quizballs.com/,"['11', 'eleven']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: On a regular clockface, which number lies opposite 5?","Confidence: 95 

{""answer"": ""8"", ""confidence"": 95}",8,95.0
What was the profession of Loretta Lynn's father?,jp_2767,www.jetpunk.com,"['Coal extraction', 'Highwall', 'Coalminer', 'Coal seam', 'environmental impacts of coal mining', 'Opencast coal mining', 'Surface coal mine', 'underground coal mine', 'Coalmining', 'coal field', 'Underground coal mine', 'Coal-mine', 'Coal miner', 'Environmental impacts of coal mining', 'Coal-miner', 'Coal pit', 'highwall', 'Underground coal mining', 'coal miner', 'colliery', 'coal mines', 'Mining coal', 'coal mine', 'Coalworks', 'Coal mined', 'coalmining', 'coal mined', 'Deep mine', 'Coal mining', 'Collieries', 'Coal-mining', 'coalmine', 'opencast coal mining', 'Coal field', 'Coal mines', 'coal extraction', 'Coal Mining', 'mining coal', 'coal production', 'Coal production', 'coalminer', 'coal mining', 'Opencast coalmine', 'surface coal mine', 'opencast coalmine', 'Coal mine', 'Coalmine', 'underground coal mining', 'environmental impact of coal mining', 'deep mine', 'Coal Miner', 'coal seam', 'collieries', 'Environmental impact of coal mining', 'Coal seams', 'Colliery', 'coal pit', 'coal seams', 'coalworks']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: What was the profession of Loretta Lynn's father?","{""answer"": ""Coal miner"", ""confidence"": 90}",Coal miner,90.0
In criminal slang what is a peterman?,sfq_3154,www.sfquiz.org.uk,"['safe breaker', 'SAFE BREAKER']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: In criminal slang what is a peterman?","{""answer"": ""A Peterman is a slang term for a man who is perceived to be a cheat or a scammer, often in a romantic or social context."", ""confidence"": 90}","A Peterman is a slang term for a man who is perceived to be a cheat or a scammer, often in a romantic or social context.",90.0
"What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?",qg_1015,https://quizguy.wordpress.com/,"['Titanic', 'RMS titanic', 'rms titanik', 'Titanick', 'S. S. Titanic', 'H.M.S. Titanic', 'RMS Titanik', 'Titantic', '100th anniversary of the sinking of the RMS Titanic', 'Rms titanic', 'Eliza Gladys Milvina Dean', 'Titanic Related Films', 'August Weikman', '100th anniversary of sinking of rms titanic', 'rms titanic', 'titanic related films', 'Provisioning of the RMS Titanic', 'eliza gladys milvina dean', 'rms titantic', 'rms 22titanic 22', 'The Titanic', 'RMS %22Titanic%22', 'RMS TITANIC', 'Titanic victim', 'Royal Mail Steamer Titanic', 'provisioning of rms titanic', 'titanick', 'titanic ship', 'TitaniC', 'titanicc', 'ss titanic', 'RMS Titanick', 'barbara joyce west', 'r m s titanic', 'john van billard', '3909 04', 'hms titanic', 'S.S. Titanic', 'John van Billard', 'HMS Titanic', 'R.M.S. Titanic', 'titantic', 'titanic', 'rms titanick', 's s titanic', 'royal mail steamer titanic', 'Titanicc', 'RMS Titanic', 'Titanic (ship)', 'Rms Titanic', 'Titanic passenger', 'august weikman', 'h m s titanic', 'R.M.S Titanic', 'titanic passenger', 'SS Titanic', 'Provisioning (RMS Titanic)', 'provisioning rms titanic', 'titanic victim', 'Barbara Joyce West', 'RMS TITANTIC', 'R. M. S. Titanic']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?","Answer: {""answer"": ""Olympic"", ""confidence"": 80}",Olympic,80.0
