question,question_id,question_source,answers,input_text,model_answer,uncertainty_score,model_output,dataset,model_id,ue_method,schema_version,timestamp
"The result of dividing a number into one is called the what, of that number?",odql_11465,http://www.odquiz.org.uk/,"['RECIPROCAL', 'reciprocal', 'Reciprocal', 'Reciprocals', 'reciprocals', 'reciprocal disambiguation', 'Reciprocal (disambiguation)', 'reciprocality', 'Reciprocality']","Answer the trivia question concisely with the best short answer.
Question: The result of dividing a number into one is called the what, of that number?
Answer:","quotient.

Explanation: The result of dividing a number into one is called the quotient of that number. This is a basic mathematical concept. The quotient is the result of a division operation, where one number is divided by another. For example, if we divide 12 by 3, the quotient is 4. In this case, the quotient of 12 is 4. The quotient is a fundamental concept in mathematics and is used in various mathematical operations, such as division, fractions, and algebra",47.218265533447266,"{""answer"": ""quotient.\n\nExplanation: The result of dividing a number into one is called the quotient of that number. This is a basic mathematical concept. The quotient is the result of a division operation, where one number is divided by another. For example, if we divide 12 by 3, the quotient is 4. In this case, the quotient of 12 is 4. The quotient is a fundamental concept in mathematics and is used in various mathematical operations, such as division, fractions, and algebra"", ""uncertainty_score"": 47.218265533447266}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
In which London pub did Ronnie Kray murder George Cornell?,bb_32,http://www.businessballs.com/,"['The Blind Beggar', 'blind beggar', 'Blind Beggar']","Answer the trivia question concisely with the best short answer.
Question: In which London pub did Ronnie Kray murder George Cornell?
Answer:",Blind Beggar.,0.9723565578460693,"{""answer"": ""Blind Beggar."", ""uncertainty_score"": 0.9723565578460693}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
What is the most exclusive hotel in Brook Street London,bt_1653,http://billturnbull.quiz4free.com/,"['claridges', ""Claridge's"", 'Claridges', 'claridge s hotel', 'claridges hotel', 'Claridges Hotel', 'mivart s hotel', ""Claridge's Hotel"", 'claridge s', ""Mivart's Hotel""]","Answer the trivia question concisely with the best short answer.
Question: What is the most exclusive hotel in Brook Street London
Answer:",The Ritz.,1.2416540384292603,"{""answer"": ""The Ritz."", ""uncertainty_score"": 1.2416540384292603}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Which US bus company was founded in Minnesota in 1914?,qb_7454,http://www.quizballs.com/,"['Greyhound México', 'Greyhound Neon', 'Greyhound Lines', 'Greyhound Bus', 'Greyhound Express', 'greyhound bus', 'Neon Bus', 'YO! Bus', 'Greyhound lines', 'greyhound express', 'greyhound lines', 'greyhound bus line', 'Greyhound Bus Lines', 'Greyhound Lines Inc.', 'carolina coach company', 'neon bus', 'greyhound neon', 'yo bus', 'Greyhound USA', 'greyhound buses', 'greyhound bus lines', 'Greyhound Lines, Inc.', 'greyhound usa', 'Greyhound Buses', 'Greyhound bus', 'Greyhound (bus line)', 'Yo! Bus', 'greyhound méxico', 'Greyhound (Lines Inc)', 'Carolina Coach Company', 'greyhound lines inc']","Answer the trivia question concisely with the best short answer.
Question: Which US bus company was founded in Minnesota in 1914?
Answer:",Greyhound.,0.40982893109321594,"{""answer"": ""Greyhound."", ""uncertainty_score"": 0.40982893109321594}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,qz_1417,https://www.quiz-zone.co.uk/,"['Bowie (disambiguation)', 'bowie', 'bowie disambiguation', 'Bowie']","Answer the trivia question concisely with the best short answer.
Question: What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?
Answer:","Joplin. (Joplin was the inspiration for the song Angie, written by Mick Jagger and Keith Richards of the Rolling Stones.)",17.947391510009766,"{""answer"": ""Joplin. (Joplin was the inspiration for the song Angie, written by Mick Jagger and Keith Richards of the Rolling Stones.)"", ""uncertainty_score"": 17.947391510009766}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Which US born blues musician has a Gibson guitar called Lucille?,sfq_22948,www.sfquiz.org.uk,"['bb king', 'B.B. King Blues Club', 'The Blues (B. B. King album)', 'Bb king', ""B.B. King's"", 'riley b king', 'riley king', 'blues b b king album', 'BB king', 'B.B. Kings', 'Blues Boy King', 'b b king blues club grill', 'The Blues (B.B. King album)', 'B B King', 'b b king blues club', 'b b kings', 'b b king', 'Riley King', 'B.B.King', 'B.b. king', 'B.B. King Blues Club & Grill', 'B.B. King', 'b b king s', 'BB King', 'Riley B. King', 'B.B King', 'B. B. King', 'blues boy king']","Answer the trivia question concisely with the best short answer.
Question: Which US born blues musician has a Gibson guitar called Lucille?
Answer:",B.B. King.,0.5681000351905823,"{""answer"": ""B.B. King."", ""uncertainty_score"": 0.5681000351905823}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
"On a regular clockface, which number lies opposite 5?",qb_9620,http://www.quizballs.com/,"['eleven', '11']","Answer the trivia question concisely with the best short answer.
Question: On a regular clockface, which number lies opposite 5?
Answer:",5. (It's a symmetrical clock face.),10.758626937866211,"{""answer"": ""5. (It's a symmetrical clock face.)"", ""uncertainty_score"": 10.758626937866211}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
What was the profession of Loretta Lynn's father?,jp_2767,www.jetpunk.com,"['coalmining', 'environmental impacts of coal mining', 'Coalminer', 'coal mining', 'Surface coal mine', 'Underground coal mine', 'deep mine', 'underground coal mine', 'Deep mine', 'opencast coal mining', 'coal production', 'surface coal mine', 'Coal production', 'Coal mined', 'coal mined', 'Coal-mine', 'Coalworks', 'coal mines', 'Coal Mining', 'Coal mine', 'Coal-mining', 'colliery', 'highwall', 'Coal mines', 'Highwall', 'underground coal mining', 'coal extraction', 'Coal mining', 'Mining coal', 'opencast coalmine', 'Environmental impact of coal mining', 'Coal field', 'Coal seams', 'coal seams', 'Colliery', 'Environmental impacts of coal mining', 'coal field', 'coalminer', 'Coal miner', 'Opencast coal mining', 'Coalmining', 'Coal seam', 'Coalmine', 'coal mine', 'Coal pit', 'collieries', 'mining coal', 'Collieries', 'environmental impact of coal mining', 'Coal-miner', 'Underground coal mining', 'Opencast coalmine', 'coal miner', 'coal seam', 'coal pit', 'Coal Miner', 'coalworks', 'coalmine', 'Coal extraction']","Answer the trivia question concisely with the best short answer.
Question: What was the profession of Loretta Lynn's father?
Answer:",Coal miner.,0.23469704389572144,"{""answer"": ""Coal miner."", ""uncertainty_score"": 0.23469704389572144}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
In criminal slang what is a peterman?,sfq_3154,www.sfquiz.org.uk,"['SAFE BREAKER', 'safe breaker']","Answer the trivia question concisely with the best short answer.
Question: In criminal slang what is a peterman?
Answer:","A man who is gay. (Note: This answer is a brief and concise response to the question, but please be aware that the term ""peterman"" is a derogatory and outdated term that is no longer commonly used or accepted in modern language.)",32.94254684448242,"{""answer"": ""A man who is gay. (Note: This answer is a brief and concise response to the question, but please be aware that the term 'peterman' is a derogatory and outdated term that is no longer commonly used or accepted in modern language.)"", ""uncertainty_score"": 32.94254684448242}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
"What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?",qg_1015,https://quizguy.wordpress.com/,"['titanicc', 'titanic passenger', 'RMS %22Titanic%22', 'titanic', 'S. S. Titanic', 'R.M.S. Titanic', '100th anniversary of sinking of rms titanic', 'TitaniC', '100th anniversary of the sinking of the RMS Titanic', 'Titanick', 'RMS TITANTIC', 'Titanicc', 'hms titanic', 'rms titanik', 'john van billard', 'ss titanic', 'Titanic Related Films', 'Titanic victim', 'Rms titanic', 'titanic ship', 'Barbara Joyce West', 'Provisioning (RMS Titanic)', 'titanic victim', 'titanick', 'provisioning of rms titanic', 'HMS Titanic', 'Titanic', 'Titanic passenger', 'SS Titanic', 'barbara joyce west', 'rms titanick', 'titantic', 'RMS titanic', 'eliza gladys milvina dean', 'The Titanic', 'S.S. Titanic', 'RMS TITANIC', 'rms 22titanic 22', 'H.M.S. Titanic', 'titanic related films', 'RMS Titanick', 'rms titanic', 'John van Billard', 'Royal Mail Steamer Titanic', 'r m s titanic', 'Titantic', 'rms titantic', 'Provisioning of the RMS Titanic', 's s titanic', 'Eliza Gladys Milvina Dean', 'h m s titanic', 'provisioning rms titanic', 'Titanic (ship)', 'august weikman', 'RMS Titanik', 'royal mail steamer titanic', 'Rms Titanic', '3909 04', 'RMS Titanic', 'August Weikman', 'R. M. S. Titanic', 'R.M.S Titanic']","Answer the trivia question concisely with the best short answer.
Question: What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?
Answer:",RMS Titanic.,2.288663625717163,"{""answer"": ""RMS Titanic."", ""uncertainty_score"": 2.288663625717163}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
