model,dataset,decoding,method,score_type,AUROC,PR-AUC(AP)
llama3.2-3B,SQuAD 2.0,single,SentenceBERT,mean_similarity,0.648454157782516,0.9159151149076872
llama3.2-3B,SQuAD 2.0,single,SentenceBERT,std_similarity,0.4271499644633973,0.8505588313088474
llama3.2-3B,SQuAD 2.0,multi,SentenceBERT,mean_similarity,0.6847048300536671,0.9161894496358299
llama3.2-3B,SQuAD 2.0,multi,SentenceBERT,std_similarity,0.3808884913536076,0.8007401873188351
llama3.2-3B,SQuAD 2.0,single,RoBERTa-MNLI,mean_similarity,0.7393849716932579,0.7269289351785612
llama3.2-3B,SQuAD 2.0,single,RoBERTa-MNLI,std_similarity,0.416189526505404,0.4873637232911774
llama3.2-3B,SQuAD 2.0,single,RoBERTa-MNLI,uncertainty,0.2606150283067421,0.3948567343055045
llama3.2-3B,SQuAD 2.0,multi,RoBERTa-MNLI,mean_similarity,0.757864052790057,0.7527087140688921
llama3.2-3B,SQuAD 2.0,multi,RoBERTa-MNLI,std_similarity,0.37846755077199046,0.4550672158832728
llama3.2-3B,SQuAD 2.0,multi,RoBERTa-MNLI,uncertainty,0.242135947209943,0.37059960328108493
llama3.2-3B,TriviaQA,single,SentenceBERT,mean_similarity,0.7602586262083094,0.7405174945080184
llama3.2-3B,TriviaQA,single,SentenceBERT,std_similarity,0.6690352730298958,0.7232911858479193
llama3.2-3B,TriviaQA,multi,SentenceBERT,mean_similarity,0.793243070225978,0.7489248007484488
llama3.2-3B,TriviaQA,multi,SentenceBERT,std_similarity,0.6749327827923949,0.7127548362826678
llama3.2-3B,TriviaQA,single,RoBERTa-MNLI,mean_similarity,0.793243070225978,0.7489248007484488
llama3.2-3B,TriviaQA,single,RoBERTa-MNLI,std_similarity,0.6749327827923949,0.7127548362826678
llama3.2-3B,TriviaQA,single,RoBERTa-MNLI,uncertainty,0.20675692977402216,0.3530897004032604
llama3.2-3B,TriviaQA,multi,RoBERTa-MNLI,mean_similarity,0.7930372148859544,0.8049093466583292
llama3.2-3B,TriviaQA,multi,RoBERTa-MNLI,std_similarity,0.5782312925170069,0.5964361885071543
llama3.2-3B,TriviaQA,multi,RoBERTa-MNLI,uncertainty,0.20696278511404562,0.3555682243442311
