id,title,question,context,answers,is_impossible,prompt,model_output,parsed_answer,parsed_confidence
57269ef4f1498d1400e8e52d,The_Sun_(United_Kingdom),What's another thing the paper showed hostility to?,"Despite its initial opposition to the closures, until 1997, the newspaper repeatedly called for the implementation of further Thatcherite policies, such as Royal Mail privatisation,[verification needed] and social security cutbacks, with leaders such as ""Peter Lilley is right, we can't carry on like this"",[verification needed] The paper showed hostility to the EU and approval of public spending cuts, tax cuts, and promotion of right-wing ministers to the cabinet, with leaders such as ""More of the Redwood, not Deadwood"".",['promotion of right-wing ministers to the cabinet'],False,"I want you to answer the question with the provided context.
Context: Despite its initial opposition to the closures, until 1997, the newspaper repeatedly called for the implementation of further Thatcherite policies, such as Royal Mail privatisation,[verification needed] and social security cutbacks, with leaders such as ""Peter Lilley is right, we can't carry on like this"",[verification needed] The paper showed hostility to the EU and approval of public spending cuts, tax cuts, and promotion of right-wing ministers to the cabinet, with leaders such as ""More of the Redwood, not Deadwood"".
Question: What's another thing the paper showed hostility to?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 90}  # One answer only
I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 
I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 
I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 
I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 
I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer the question with the provided context. I will provide the context in a few lines. Please format your response in the required format. 

I want you to answer",,
56dfbd5e231d4119001abd5a,Internet_service_provider,what type of technology is used to connect to the internet wirelessly? ," ISPs provide Internet access, employing a range of technologies to connect users to their network. Available technologies have ranged from computer modems with acoustic couplers to telephone lines, to television cable (CATV), wireless Ethernet (wi-fi), and fiber optics.",['wireless Ethernet (wi-fi)'],False,"I want you to answer the question with the provided context.
Context:  ISPs provide Internet access, employing a range of technologies to connect users to their network. Available technologies have ranged from computer modems with acoustic couplers to telephone lines, to television cable (CATV), wireless Ethernet (wi-fi), and fiber optics.
Question: what type of technology is used to connect to the internet wirelessly? 
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 99}  # One answer only

Example 4:
Question: What is the smallest country in the world?
Answer: {""answer"": ""Vatican City"", ""confidence"": 90}  # One answer only

Example 5:
Question: Who wrote Romeo and Juliet?
Answer: {""answer"": ""William Shakespeare"", ""confidence"": 96}  # One answer only

Example 6:
Question: What is the largest mammal on Earth?
Answer: {""answer"": ""Blue whale"", ""confidence"": 99}  # One answer only

Example 7:
Question: What is the chemical symbol for gold?
Answer: {""answer"": ""Au"", ""confidence"": 95}  # One answer only

Example 8:
Question: What is the capital of Australia?
Answer: {""answer"": ""Canberra"", ""confidence"": 98}  # Do not list alternatives

Example 9:
Question: Who painted the Starry Night?
Answer: {""answer"": ""Vincent van Gogh"", ""confidence"": 99}  # One answer only

Example 10:
Question: What is the smallest country in the world?
Answer: {""answer"": ""Vatican City"", ""confidence"": 90}  # One answer only",,
5730d22faca1c71400fe5af0,United_States_Air_Force,What is one of the important functions of the OCA in dealing with attacks? ,"Offensive Counterair (OCA) is defined as ""offensive operations to destroy, disrupt, or neutralize enemy aircraft, missiles, launch platforms, and their supporting structures and systems both before and after launch, but as close to their source as possible"" (JP 1-02). OCA is the preferred method of countering air and missile threats, since it attempts to defeat the enemy closer to its source and typically enjoys the initiative. OCA comprises attack operations, sweep, escort, and suppression/destruction of enemy air defense.",['suppression/destruction of enemy air defense'],False,"I want you to answer the question with the provided context.
Context: Offensive Counterair (OCA) is defined as ""offensive operations to destroy, disrupt, or neutralize enemy aircraft, missiles, launch platforms, and their supporting structures and systems both before and after launch, but as close to their source as possible"" (JP 1-02). OCA is the preferred method of countering air and missile threats, since it attempts to defeat the enemy closer to its source and typically enjoys the initiative. OCA comprises attack operations, sweep, escort, and suppression/destruction of enemy air defense.
Question: What is one of the important functions of the OCA in dealing with attacks? 
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # Confidence level only",,
57266715dd62a815002e83be,British_Empire,When did England first establish a colony in Guiana?,"The Caribbean initially provided England's most important and lucrative colonies, but not before several attempts at colonisation failed. An attempt to establish a colony in Guiana in 1604 lasted only two years, and failed in its main objective to find gold deposits. Colonies in St Lucia (1605) and Grenada (1609) also rapidly folded, but settlements were successfully established in St. Kitts (1624), Barbados (1627) and Nevis (1628). The colonies soon adopted the system of sugar plantations successfully used by the Portuguese in Brazil, which depended on slave labour, and—at first—Dutch ships, to sell the slaves and buy the sugar. To ensure that the increasingly healthy profits of this trade remained in English hands, Parliament decreed in 1651 that only English ships would be able to ply their trade in English colonies. This led to hostilities with the United Dutch Provinces—a series of Anglo-Dutch Wars—which would eventually strengthen England's position in the Americas at the expense of the Dutch. In 1655, England annexed the island of Jamaica from the Spanish, and in 1666 succeeded in colonising the Bahamas.",['1604'],False,"I want you to answer the question with the provided context.
Context: The Caribbean initially provided England's most important and lucrative colonies, but not before several attempts at colonisation failed. An attempt to establish a colony in Guiana in 1604 lasted only two years, and failed in its main objective to find gold deposits. Colonies in St Lucia (1605) and Grenada (1609) also rapidly folded, but settlements were successfully established in St. Kitts (1624), Barbados (1627) and Nevis (1628). The colonies soon adopted the system of sugar plantations successfully used by the Portuguese in Brazil, which depended on slave labour, and—at first—Dutch ships, to sell the slaves and buy the sugar. To ensure that the increasingly healthy profits of this trade remained in English hands, Parliament decreed in 1651 that only English ships would be able to ply their trade in English colonies. This led to hostilities with the United Dutch Provinces—a series of Anglo-Dutch Wars—which would eventually strengthen England's position in the Americas at the expense of the Dutch. In 1655, England annexed the island of Jamaica from the Spanish, and in 1666 succeeded in colonising the Bahamas.
Question: When did England first establish a colony in Guiana?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # One answer only

Example 4:
Question: When did the first humans set foot on the Moon?
Answer: {""answer"": ""July 20, 1969"", ""confidence"": 98}  # One answer only

Example 5:
Question: What is the largest living species of lizard?
Answer: {""answer"": ""Komodo dragon"", ""confidence"": 99}  # One answer only

Example 6:
Question: Who wrote the famous novel ""To Kill a Mockingbird""?
Answer: {""answer"": ""Harper Lee"", ""confidence"": 97}  # One answer only

Example 7:
Question: What is the chemical symbol for gold?
Answer: {""answer"": ""Au"", ""confidence"": 96}  # One answer only

Example 8:
Question: Which of the following planets is no longer considered a planet?
Answer: {""answer"": ""Pluto"", ""confidence"": 94}  # One answer only

Example 9:
Question: Who painted the famous artwork ""The Starry Night""?
Answer: {""answer"": ""Vincent van Gogh"", ""confidence"": 99}  # One answer only

Example 10:
Question: When did the first humans live on the moon?
Answer: {""answer"": ""December 21, 1968"", ""confidence"": 98}  # One answer only

Example 11:
Question: What is the largest mammal on Earth?
Answer: {""answer"": ""Blue whale"", ""confidence"": 95}  # One answer only

Example 12:
Question: Who wrote the famous novel ""1984""?
Answer: {""answer"": ""George Orwell"", ""confidence"": 97}  # One answer only

Example 13:
Question: What is the chemical symbol for gold?
Answer: {""answer"": ""Ag"", ""confidence"": 96}  # One answer only

Example 14:
Question: Which of the following planets is no longer considered a planet?
Answer: {""answer"": ""Neptune"", ""confidence"": 94}  # One answer only

Example 15:
Question: Who painted the famous artwork ""The Scream""?
Answer: {""answer"": ""Edvard Munch"", ""confidence"": 99}  # One answer only

Example 16:
Question: When did the first humans live on the moon?
Answer: {""answer"": ""December 21, 1968"", ""confidence"": 98}  # One answer only

Example 17:
Question: What is the largest mammal on Earth?
Answer: {""answer"": ""Blue whale"", ""confidence"": 95}  # One answer only

Example 18:
Question: Who wrote the famous novel ""To Kill a Mockingbird""?
Answer: {""answer"": ""Harper Lee"", ""confidence"": 97}  # One answer only

Example 19:
Question: What is the chemical symbol for gold?
Answer: {""answer"": ""Au"", ""confidence"": 96}",,
5706371452bb89140068996f,MP3,What would an example of lossy audio encoding be?,"When performing lossy audio encoding, such as creating an MP3 file, there is a trade-off between the amount of space used and the sound quality of the result. Typically, the creator is allowed to set a bit rate, which specifies how many kilobits the file may use per second of audio. The higher the bit rate, the larger the compressed file will be, and, generally, the closer it will sound to the original file.",['creating an MP3 file'],False,"I want you to answer the question with the provided context.
Context: When performing lossy audio encoding, such as creating an MP3 file, there is a trade-off between the amount of space used and the sound quality of the result. Typically, the creator is allowed to set a bit rate, which specifies how many kilobits the file may use per second of audio. The higher the bit rate, the larger the compressed file will be, and, generally, the closer it will sound to the original file.
Question: What would an example of lossy audio encoding be?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # One answer only",,
56de81824396321400ee2994,Plymouth,In what year was Plymouth recognized as a town?,"The first record of the existence of a settlement at Plymouth was in the Domesday Book in 1086 as Sudtone, Saxon for south farm, located at the present day Barbican. From Saxon times, it was in the hundred of Roborough. In 1254 it gained status as a town and in 1439, became the first town in England to be granted a Charter by Parliament. Between 1439 and 1934, Plymouth had a Mayor. In 1914 the county boroughs of Plymouth and Devonport, and the urban district of East Stonehouse merged to form a single county borough of Plymouth. Collectively they were referred to as ""The Three Towns"".",['1254'],False,"I want you to answer the question with the provided context.
Context: The first record of the existence of a settlement at Plymouth was in the Domesday Book in 1086 as Sudtone, Saxon for south farm, located at the present day Barbican. From Saxon times, it was in the hundred of Roborough. In 1254 it gained status as a town and in 1439, became the first town in England to be granted a Charter by Parliament. Between 1439 and 1934, Plymouth had a Mayor. In 1914 the county boroughs of Plymouth and Devonport, and the urban district of East Stonehouse merged to form a single county borough of Plymouth. Collectively they were referred to as ""The Three Towns"".
Question: In what year was Plymouth recognized as a town?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 90}  # Do not list alternatives",,
56f8b7f99e9bad19000a0395,Gene,How do genes encode multiple proteins?,Early work in molecular genetics suggested the model that one gene makes one protein. This model has been refined since the discovery of genes that can encode multiple proteins by alternative splicing and coding sequences split in short section across the genome whose mRNAs are concatenated by trans-splicing.,['by alternative splicing and coding sequences'],False,"I want you to answer the question with the provided context.
Context: Early work in molecular genetics suggested the model that one gene makes one protein. This model has been refined since the discovery of genes that can encode multiple proteins by alternative splicing and coding sequences split in short section across the genome whose mRNAs are concatenated by trans-splicing.
Question: How do genes encode multiple proteins?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # Confidence can be higher or lower than 100 depending on context

Example 4:
Question: Who wrote Romeo and Juliet?
Answer: {""answer"": ""William Shakespeare"", ""confidence"": 99}  # Confidence can be higher or lower than 100 depending on context

Example 5:
Question: What is the largest living species of lizard?
Answer: {""answer"": ""Komodo dragon"", ""confidence"": 96}  # Confidence can be higher or lower than 100 depending on context",,
572f6ea004bcaa1900d7694a,Modern_history,What happened when Nicholas II was removed from power?,"The Russian Revolution is the series of revolutions in Russia in 1917, which destroyed the Tsarist autocracy and led to the creation of the Soviet Union. Following the abdication of Nicholas II of Russia, the Russian Provisional Government was established. In October 1917, a red faction revolution occurred in which the Red Guard, armed groups of workers and deserting soldiers directed by the Bolshevik Party, seized control of Saint Petersburg (then known as Petrograd) and began an immediate armed takeover of cities and villages throughout the former Russian Empire.",['the Russian Provisional Government was established.'],False,"I want you to answer the question with the provided context.
Context: The Russian Revolution is the series of revolutions in Russia in 1917, which destroyed the Tsarist autocracy and led to the creation of the Soviet Union. Following the abdication of Nicholas II of Russia, the Russian Provisional Government was established. In October 1917, a red faction revolution occurred in which the Red Guard, armed groups of workers and deserting soldiers directed by the Bolshevik Party, seized control of Saint Petersburg (then known as Petrograd) and began an immediate armed takeover of cities and villages throughout the former Russian Empire.
Question: What happened when Nicholas II was removed from power?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # One answer only",,
57286d7d4b864d19001649e1,University_of_Chicago,What is the name of the Bungie Inc. founder who is also a university graduate?,"In the arts and entertainment, minimalist composer Philip Glass, dancer, choreographer and leader in the field of dance anthropology Katherine Dunham, Bungie founder and developer of the Halo video game series Alex Seropian, Serial host Sarah Koenig, actor Ed Asner, Pulitzer Prize for Criticism winning film critic and the subject of the 2014 documentary film Life Itself Roger Ebert, director, writer, and comedian Mike Nichols, film director and screenwriter Philip Kaufman, and Carl Van Vechten, photographer and writer, are graduates.","['Alex Seropian', 'Alex Seropian', 'Alex Seropian']",False,"I want you to answer the question with the provided context.
Context: In the arts and entertainment, minimalist composer Philip Glass, dancer, choreographer and leader in the field of dance anthropology Katherine Dunham, Bungie founder and developer of the Halo video game series Alex Seropian, Serial host Sarah Koenig, actor Ed Asner, Pulitzer Prize for Criticism winning film critic and the subject of the 2014 documentary film Life Itself Roger Ebert, director, writer, and comedian Mike Nichols, film director and screenwriter Philip Kaufman, and Carl Van Vechten, photographer and writer, are graduates.
Question: What is the name of the Bungie Inc. founder who is also a university graduate?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the chemical symbol for gold?
Answer: {""answer"": ""Au"", ""confidence"": 92}  # One answer only
The final answer is: {""answer"": ""Alex Seropian"", ""confidence"": 0}  # Only one answer",,
56fa097df34c681400b0bf83,Somalis,"Along with Jama Korshel, who led the Supreme Revolutionary Council?","Alongside Barre, the Supreme Revolutionary Council (SRC) that assumed power after President Sharmarke's assassination was led by Lieutenant Colonel Salaad Gabeyre Kediye and Chief of Police Jama Korshel. The SRC subsequently renamed the country the Somali Democratic Republic, dissolved the parliament and the Supreme Court, and suspended the constitution.",['Salaad Gabeyre Kediye'],False,"I want you to answer the question with the provided context.
Context: Alongside Barre, the Supreme Revolutionary Council (SRC) that assumed power after President Sharmarke's assassination was led by Lieutenant Colonel Salaad Gabeyre Kediye and Chief of Police Jama Korshel. The SRC subsequently renamed the country the Somali Democratic Republic, dissolved the parliament and the Supreme Court, and suspended the constitution.
Question: Along with Jama Korshel, who led the Supreme Revolutionary Council?
Your entire reply must be a single-line, valid JSON object matching this schema: {""answer"": string, ""confidence"": integer}. Confidence must be an integer 0–100. Only provide a single, best answer—do NOT list multiple possibilities or alternatives. Do NOT include code fences, explanations, or line breaks—only the JSON.Example 1:
Question: What is the capital of France?
Answer: {""answer"": ""Paris"", ""confidence"": 95}  # One answer only

Example 2:
Question: Who painted the Mona Lisa?
Answer: {""answer"": ""Leonardo da Vinci"", ""confidence"": 98}  # Do not list alternatives

","Example 3:
Question: What is the largest planet in our solar system?
Answer: {""answer"": ""Jupiter"", ""confidence"": 92}  # Confidence is an integer between 0 and 100.",,
