question,question_id,question_source,answers,input_text,model_answer,uncertainty_score,model_output,dataset,model_id,ue_method,schema_version,timestamp
"The result of dividing a number into one is called the what, of that number?",odql_11465,http://www.odquiz.org.uk/,"['Reciprocal (disambiguation)', 'reciprocal', 'reciprocality', 'reciprocal disambiguation', 'Reciprocality', 'Reciprocal', 'Reciprocals', 'reciprocals', 'RECIPROCAL']","Answer the trivia question concisely with the best short answer.
Question: The result of dividing a number into one is called the what, of that number?
Answer:","quotient.

Explanation: The result of dividing a number into one is called the quotient of that number. This is a basic mathematical concept. The quotient is the result of a division operation, where one number is divided by another. For example, if we divide 12 by 3, the quotient is 4. In this case, the quotient of 12 is 4. The quotient is a fundamental concept in mathematics and is used in various mathematical operations, such as division, fractions, and algebra",19.429903030395508,"{""answer"": ""quotient.\n\nExplanation: The result of dividing a number into one is called the quotient of that number. This is a basic mathematical concept. The quotient is the result of a division operation, where one number is divided by another. For example, if we divide 12 by 3, the quotient is 4. In this case, the quotient of 12 is 4. The quotient is a fundamental concept in mathematics and is used in various mathematical operations, such as division, fractions, and algebra"", ""uncertainty_score"": 19.429903030395508}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
In which London pub did Ronnie Kray murder George Cornell?,bb_32,http://www.businessballs.com/,"['blind beggar', 'Blind Beggar', 'The Blind Beggar']","Answer the trivia question concisely with the best short answer.
Question: In which London pub did Ronnie Kray murder George Cornell?
Answer:",Blind Beggar.,0.37169328331947327,"{""answer"": ""Blind Beggar."", ""uncertainty_score"": 0.37169328331947327}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
What is the most exclusive hotel in Brook Street London,bt_1653,http://billturnbull.quiz4free.com/,"['Claridges', ""Mivart's Hotel"", 'claridge s', 'Claridges Hotel', ""Claridge's Hotel"", 'claridge s hotel', 'mivart s hotel', 'claridges hotel', 'claridges', ""Claridge's""]","Answer the trivia question concisely with the best short answer.
Question: What is the most exclusive hotel in Brook Street London
Answer:",The Ritz.,0.4990166127681732,"{""answer"": ""The Ritz."", ""uncertainty_score"": 0.4990166127681732}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Which US bus company was founded in Minnesota in 1914?,qb_7454,http://www.quizballs.com/,"['Greyhound Neon', 'greyhound lines', 'Greyhound México', 'Greyhound Buses', 'Greyhound Lines Inc.', 'Greyhound Lines, Inc.', 'greyhound méxico', 'YO! Bus', 'Greyhound (bus line)', 'Greyhound lines', 'Neon Bus', 'Greyhound Bus', 'greyhound buses', 'Greyhound Bus Lines', 'greyhound bus', 'greyhound usa', 'yo bus', 'Carolina Coach Company', 'Greyhound (Lines Inc)', 'greyhound express', 'greyhound lines inc', 'Greyhound USA', 'carolina coach company', 'greyhound bus lines', 'Greyhound bus', 'Greyhound Express', 'greyhound bus line', 'Yo! Bus', 'neon bus', 'greyhound neon', 'Greyhound Lines']","Answer the trivia question concisely with the best short answer.
Question: Which US bus company was founded in Minnesota in 1914?
Answer:",Greyhound.,0.03858131170272827,"{""answer"": ""Greyhound."", ""uncertainty_score"": 0.03858131170272827}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?,qz_1417,https://www.quiz-zone.co.uk/,"['bowie disambiguation', 'bowie', 'Bowie', 'Bowie (disambiguation)']","Answer the trivia question concisely with the best short answer.
Question: What was the surname of the woman who was the inspiration behind the Rolling Stones song Angie?
Answer:","Joplin. (Joplin was the inspiration for the song Angie, written by Mick Jagger and Keith Richards of the Rolling Stones.)",8.524097442626953,"{""answer"": ""Joplin. (Joplin was the inspiration for the song Angie, written by Mick Jagger and Keith Richards of the Rolling Stones.)"", ""uncertainty_score"": 8.524097442626953}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Which US born blues musician has a Gibson guitar called Lucille?,sfq_22948,www.sfquiz.org.uk,"[""B.B. King's"", 'B.b. king', 'b b king blues club', 'bb king', 'B.B King', 'blues b b king album', 'B.B. Kings', 'B.B. King Blues Club & Grill', 'b b king', 'The Blues (B.B. King album)', 'B. B. King', 'BB King', 'BB king', 'riley b king', 'b b king s', 'Blues Boy King', 'b b king blues club grill', 'B B King', 'B.B. King', 'b b kings', 'riley king', 'Riley B. King', 'blues boy king', 'B.B.King', 'B.B. King Blues Club', 'Bb king', 'Riley King', 'The Blues (B. B. King album)']","Answer the trivia question concisely with the best short answer.
Question: Which US born blues musician has a Gibson guitar called Lucille?
Answer:",B.B. King.,0.11780187487602234,"{""answer"": ""B.B. King."", ""uncertainty_score"": 0.11780187487602234}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
"On a regular clockface, which number lies opposite 5?",qb_9620,http://www.quizballs.com/,"['11', 'eleven']","Answer the trivia question concisely with the best short answer.
Question: On a regular clockface, which number lies opposite 5?
Answer:",5. (It's a symmetrical clock face.),5.716481685638428,"{""answer"": ""5. (It's a symmetrical clock face.)"", ""uncertainty_score"": 5.716481685638428}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
What was the profession of Loretta Lynn's father?,jp_2767,www.jetpunk.com,"['Coal extraction', 'Highwall', 'Coalminer', 'Coal seam', 'environmental impacts of coal mining', 'Opencast coal mining', 'Surface coal mine', 'underground coal mine', 'Coalmining', 'coal field', 'Underground coal mine', 'Coal-mine', 'Coal miner', 'Environmental impacts of coal mining', 'Coal-miner', 'Coal pit', 'highwall', 'Underground coal mining', 'coal miner', 'colliery', 'coal mines', 'Mining coal', 'coal mine', 'Coalworks', 'Coal mined', 'coalmining', 'coal mined', 'Deep mine', 'Coal mining', 'Collieries', 'Coal-mining', 'coalmine', 'opencast coal mining', 'Coal field', 'Coal mines', 'coal extraction', 'Coal Mining', 'mining coal', 'coal production', 'Coal production', 'coalminer', 'coal mining', 'Opencast coalmine', 'surface coal mine', 'opencast coalmine', 'Coal mine', 'Coalmine', 'underground coal mining', 'environmental impact of coal mining', 'deep mine', 'Coal Miner', 'coal seam', 'collieries', 'Environmental impact of coal mining', 'Coal seams', 'Colliery', 'coal pit', 'coal seams', 'coalworks']","Answer the trivia question concisely with the best short answer.
Question: What was the profession of Loretta Lynn's father?
Answer:",Coal miner.,0.0217153150588274,"{""answer"": ""Coal miner."", ""uncertainty_score"": 0.0217153150588274}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
In criminal slang what is a peterman?,sfq_3154,www.sfquiz.org.uk,"['safe breaker', 'SAFE BREAKER']","Answer the trivia question concisely with the best short answer.
Question: In criminal slang what is a peterman?
Answer:","A man who is gay. (Note: This answer is a brief and concise response to the question, but please be aware that the term ""peterman"" is a derogatory and outdated term that is no longer commonly used or accepted in modern language.)",25.71659278869629,"{""answer"": ""A man who is gay. (Note: This answer is a brief and concise response to the question, but please be aware that the term 'peterman' is a derogatory and outdated term that is no longer commonly used or accepted in modern language.)"", ""uncertainty_score"": 25.71659278869629}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
"What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?",qg_1015,https://quizguy.wordpress.com/,"['Titanic', 'RMS titanic', 'rms titanik', 'Titanick', 'S. S. Titanic', 'H.M.S. Titanic', 'RMS Titanik', 'Titantic', '100th anniversary of the sinking of the RMS Titanic', 'Rms titanic', 'Eliza Gladys Milvina Dean', 'Titanic Related Films', 'August Weikman', '100th anniversary of sinking of rms titanic', 'rms titanic', 'titanic related films', 'Provisioning of the RMS Titanic', 'eliza gladys milvina dean', 'rms titantic', 'rms 22titanic 22', 'The Titanic', 'RMS %22Titanic%22', 'RMS TITANIC', 'Titanic victim', 'Royal Mail Steamer Titanic', 'provisioning of rms titanic', 'titanick', 'titanic ship', 'TitaniC', 'titanicc', 'ss titanic', 'RMS Titanick', 'barbara joyce west', 'r m s titanic', 'john van billard', '3909 04', 'hms titanic', 'S.S. Titanic', 'John van Billard', 'HMS Titanic', 'R.M.S. Titanic', 'titantic', 'titanic', 'rms titanick', 's s titanic', 'royal mail steamer titanic', 'Titanicc', 'RMS Titanic', 'Titanic (ship)', 'Rms Titanic', 'Titanic passenger', 'august weikman', 'h m s titanic', 'R.M.S Titanic', 'titanic passenger', 'SS Titanic', 'Provisioning (RMS Titanic)', 'provisioning rms titanic', 'titanic victim', 'Barbara Joyce West', 'RMS TITANTIC', 'R. M. S. Titanic']","Answer the trivia question concisely with the best short answer.
Question: What ""moderately famous"" ship left Southampton, England, before stopping at Cherbourg, France and Queenstown, Ireland before stopping floating?
Answer:",RMS Titanic.,1.2138766050338745,"{""answer"": ""RMS Titanic."", ""uncertainty_score"": 1.2138766050338745}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
